Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1778404928645
Timestamp end: 1778406728953

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      241.6   103.4    86.8   153.5   166.3   234.2   259.8   273.6   284.8   296.5   314.4   344.4   411.2  1079.1  4463.0   6959.7     6927
read      287.3   130.2    74.4   128.1   143.0   275.1   336.4   368.7   390.4   415.0   447.5   500.2   631.4   895.6  2543.8  52800.9    52892
read      309.4   139.5    74.4   138.5   157.9   289.9   351.0   387.3   413.9   446.3   487.2   546.4   683.0   923.3  2941.3  98833.1    98921
read      280.0   121.5    74.4   126.9   141.8   266.2   329.5   362.7   384.7   409.2   439.6   486.5   573.4   715.6  2092.8  61084.3    61129
read      284.3   116.2    74.4   134.0   149.7   283.4   333.5   359.6   376.6   396.3   420.8   458.0   532.5   663.7  3089.2  40648.0    40613
read      282.8   119.4    74.4   129.0   144.1   273.6   334.6   365.5   385.9   407.9   435.7   479.3   559.7   696.0  2429.3  53303.1    53226
read      285.4   110.6    80.4   135.6   151.6   285.5   334.3   359.8   376.3   395.6   419.4   455.6   529.0   651.6  2735.2  38466.1    38560
read      382.2   202.6    74.4   150.5   176.2   346.0   430.0   475.6   507.9   547.5   609.9   768.1  1039.9  1230.2  3210.0 103448.0   103465
read      444.6   235.2    80.4   162.3   195.2   410.7   493.9   539.5   578.9   640.1   774.7   930.7  1095.4  1282.0  5056.8 104814.6   104758
read      303.4   151.5    74.4   135.5   154.2   284.8   345.0   380.7   406.3   437.7   478.0   535.9   658.4   886.2  3217.5  94776.6    94759
read      285.6   115.5    80.4   135.3   151.2   285.7   333.8   358.9   375.1   394.5   418.3   454.8   530.3   680.5  3120.9  37812.5    37799
read      247.4   112.2    86.8   158.7   174.1   242.0   264.6   276.4   286.7   297.0   313.1   339.8   405.6  1082.6  6228.4   8305.7     8296
read      281.5   130.3    74.4   127.4   142.7   264.4   327.3   361.8   385.5   411.9   445.5   496.3   592.2   764.3  2767.8  69396.0    69443
read      254.6    86.2    80.4   154.8   172.9   251.6   275.9   290.2   299.8   312.4   328.9   359.0   426.4  1022.1  2694.9  12494.5    12517
read      281.4   123.4    74.4   131.3   146.6   279.8   330.3   356.5   373.3   393.6   418.6   457.5   540.0   707.3  3249.6  43549.9    43591
read      267.1    88.0    80.4   145.1   163.3   268.0   298.8   314.7   326.5   341.7   361.2   389.6   451.9   599.5  2239.4  20431.7    20430
read      290.5   131.7    74.4   131.5   149.0   273.2   331.6   365.5   390.3   419.4   457.0   510.4   622.7   821.5  3037.5  93761.9    93758
read      243.6    86.7    86.8   153.6   169.4   240.8   263.3   274.9   285.3   295.8   311.8   338.1   399.8  1007.8  3815.2  10534.8    10485
read      262.3    97.8    80.4   149.6   167.9   260.6   288.9   304.1   314.8   328.5   346.7   376.0   437.6   775.4  3330.8  16535.6    16518
read      283.9   131.4    74.4   128.1   144.1   265.7   326.0   361.0   385.8   414.5   451.4   504.1   607.1   805.3  2859.8  83196.5    83230
read      233.0   132.5    86.8   156.2   167.5   225.3   246.4   257.6   266.5   275.5   290.9   314.7   391.2  1149.6  7326.6   5502.2     5484
read      281.2   121.1    74.4   128.2   143.1   271.0   331.8   363.7   384.8   407.4   435.5   480.8   562.5   690.5  2395.4  55701.2    55611
read      274.5    96.8    80.4   148.7   166.6   275.3   307.5   324.0   338.2   354.2   373.0   401.5   464.4   596.0  2914.0  20753.5    20774
read      301.0   132.5    74.4   136.0   154.6   283.3   342.6   377.7   403.1   433.8   472.3   530.5   641.9   830.4  2287.1  96695.7    96726
read      283.4   113.9    80.4   138.4   154.6   285.2   327.6   350.6   366.3   384.0   403.8   435.8   507.1   648.7  2972.7  32421.7    32442
read      277.7   122.3    74.4   125.7   140.8   259.9   322.5   357.4   381.5   408.3   442.0   493.3   586.3   736.8  1983.8  73033.9    73039
read      281.0   128.7    74.4   126.7   142.1   263.2   325.8   361.1   385.4   412.7   447.5   499.2   592.8   766.4  2419.7  73945.7    74055
read      282.7   123.6    74.4   129.1   144.2   275.8   334.4   364.4   384.3   405.2   432.4   473.4   551.8   707.7  3024.5  51164.4    51197
