#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      254.5   120.6   101.3   158.3   172.2   244.6   275.6   293.1   305.9   319.8   340.2   372.7   466.2   997.7  4129.2  29877.2    30000  1778431066703  1778431076896
read      250.7   108.2    93.8   156.1   169.0   240.2   272.5   290.2   302.7   317.3   337.4   369.7   462.0   883.4  4140.6  30032.9    30005  1778431078410  1778431088538
read      248.2    92.8    93.8   151.7   164.6   237.4   271.2   289.6   302.5   317.6   338.4   371.8   466.3   831.2  3217.4  29989.6    30010  1778431090051  1778431100152
read      244.9    90.7   101.3   153.6   166.1   234.6   266.3   283.5   295.5   310.8   330.0   362.0   452.9   787.4  3270.8  29954.8    30015  1778431101667  1778431111767
read      249.0   101.7   101.3   154.0   166.4   237.3   270.9   289.1   302.0   317.4   338.8   371.9   466.3   855.5  3919.7  30042.0    30020  1778431113283  1778431123384
read      251.8    97.6    93.8   156.5   169.7   242.4   274.7   292.3   304.9   319.0   339.0   370.3   463.2   777.2  3232.0  30010.9    30025  1778431124897  1778431134999
read      252.1   108.1   101.3   161.4   173.7   239.6   270.1   287.2   299.0   314.1   334.0   367.9   491.7  1363.8  3843.5  30049.3    30030  1778431136513  1778431146614
read      251.9   104.5    93.8   161.6   173.8   240.2   271.1   288.2   300.0   314.7   334.3   367.3   475.9  1082.6  3962.1  29995.5    30035  1778431148128  1778431158228
read      251.3    90.5   101.3   161.5   174.2   242.1   272.7   289.5   301.2   315.2   333.8   363.8   445.7   741.7  3403.5  30025.4    30040  1778431159743  1778431169847
read      244.4    96.4    93.8   155.5   167.6   233.2   264.4   281.5   293.8   309.3   328.6   361.4   447.2   723.7  3879.1  30022.6    30045  1778431171360  1778431181461
read      254.9    96.0   101.3   161.6   174.9   245.3   276.6   293.6   306.2   319.8   339.8   371.5   461.5   834.5  3492.4  29969.6    30050  1778431182973  1778431193079
read      251.3   115.0   101.3   159.9   172.3   240.0   271.2   288.4   300.4   315.0   334.6   366.5   455.8  1304.0  4901.0  30001.8    30055  1778431194594  1778431204693
read      258.9   101.5   101.3   162.6   175.9   247.6   279.4   296.5   309.9   324.6   344.9   381.4   500.0  1104.0  3885.1  30040.5    30060  1778431206207  1778431216316
read      256.9    98.5    93.8   162.5   175.7   245.9   277.6   295.1   308.2   322.2   342.9   376.8   482.7   865.9  3717.8  30056.7    30065  1778431217832  1778431227933
read      251.1   110.1    93.8   159.7   171.9   238.4   269.6   286.9   298.7   313.9   334.1   368.7   486.2  1282.3  4195.3  30023.0    30070  1778431229447  1778431239548
read      252.3    97.9   101.3   159.3   171.5   239.8   271.4   289.1   301.6   316.5   337.4   372.2   506.3  1040.8  3228.1  30154.1    30075  1778431241063  1778431251170
read      256.3   123.3    93.8   158.4   171.0   240.8   273.3   291.6   304.9   320.0   342.1   382.0   570.7  1552.9  4229.2  30097.0    30080  1778431252686  1778431262787
read      272.4   171.5   101.3   160.5   173.1   245.2   279.2   298.4   313.6   332.5   361.3   439.5   842.1  2361.9  5352.8  30091.4    30085  1778431264302  1778431274400
read      255.7   117.6   101.3   160.9   173.2   240.5   271.9   289.4   302.1   317.6   340.0   380.4   564.2  1423.6  4178.8  30090.1    30090  1778431275918  1778431286019
read      260.7   110.8    93.8   159.5   173.3   246.9   280.1   298.0   312.0   328.1   348.9   390.0   554.7  1528.1  3489.4  30097.9    30095  1778431287535  1778431297638
read      257.4   107.6   101.3   156.0   170.3   246.8   280.4   298.4   312.0   327.5   347.1   384.0   492.4   938.8  4141.8  30121.8    30100  1778431299153  1778431309255
read      252.5   112.8    93.8   154.8   168.1   240.4   273.7   292.5   306.1   321.0   342.7   377.4   470.6  1156.0  4375.9  30116.0    30105  1778431310769  1778431320873
read      257.5    91.5   101.3   159.2   172.8   246.1   280.2   298.7   312.7   329.0   350.2   387.4   481.9   814.8  3028.8  30043.2    30110  1778431322388  1778431332492
read      260.7   106.9    93.8   158.4   172.0   247.7   282.7   302.0   316.0   333.6   357.1   397.0   508.7  1015.3  3460.5  30169.3    30115  1778431334009  1778431344112
read      253.2    95.8    93.8   157.2   170.8   242.5   274.3   292.4   305.7   320.4   342.0   375.9   467.3   885.8  3220.2  30095.7    30120  1778431345626  1778431355727
read      260.6    99.9   101.3   160.7   174.6   251.0   285.0   303.2   315.9   331.6   351.0   385.5   476.8   833.9  3813.9  30127.3    30125  1778431357242  1778431367343
