#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      273.2   551.1    93.8   160.3   177.2   256.1   290.7   311.7   327.7   347.4   375.9   426.7   571.1  1150.0  4437.5  29972.9    30000  1778619228511  1778619238706
read      258.0   113.9    86.8   158.4   174.5   243.8   274.2   292.8   307.6   325.6   351.1   395.3   512.1   974.1  4286.8  30106.1    30005  1778619240227  1778619250373
read      256.3   114.2    86.8   160.0   175.0   242.9   272.5   290.5   304.2   320.8   345.3   388.4   501.6   959.1  4308.6  30088.3    30010  1778619251892  1778619262001
read      252.4   100.2    86.8   155.5   171.3   238.7   269.1   287.2   300.6   318.2   343.3   387.2   503.6   792.6  4009.3  30023.2    30015  1778619263519  1778619273627
read      252.6    99.0    86.8   156.6   172.3   239.4   269.5   287.4   300.6   318.1   342.6   385.1   498.3   812.6  3560.2  30005.2    30020  1778619275143  1778619285250
read      259.2   114.9    86.8   158.3   174.6   245.1   276.3   294.7   309.6   327.7   353.5   397.5   521.3   854.2  4357.0  29967.1    30025  1778619286767  1778619296874
read      258.5   122.7    86.8   157.1   173.6   243.8   274.6   293.2   307.9   325.8   352.0   398.0   531.8   928.7  5026.3  30163.8    30030  1778619298390  1778619308500
read      262.3   107.7    93.8   162.1   178.1   249.3   280.2   297.8   312.8   330.8   355.7   397.6   516.1   853.0  4221.2  29978.5    30035  1778619310017  1778619320125
read      256.2   111.5    86.8   158.8   174.7   242.7   272.8   290.6   304.1   320.6   345.4   388.5   506.6   953.5  4571.9  30007.4    30040  1778619321643  1778619331751
read      252.9   107.1    86.8   156.7   172.9   240.3   269.9   287.3   300.0   317.1   341.4   383.0   491.0   759.1  4345.3  30035.3    30045  1778619333268  1778619343372
read      253.8   114.0    86.8   156.7   172.0   239.4   270.1   288.4   302.2   319.7   345.3   390.4   505.7   832.6  4852.3  30099.4    30050  1778619344888  1778619354997
read      256.6   420.7    86.8   154.7   170.4   239.1   269.8   288.3   302.4   320.0   346.0   394.1   542.1  1153.4  4968.2  30117.0    30055  1778619356515  1778619366625
read      251.5   106.4    86.8   156.2   171.9   237.9   267.9   285.5   298.1   315.8   340.0   380.8   499.1   902.6  3889.4  30062.7    30060  1778619368140  1778619378254
read      255.9   113.6    86.8   158.4   174.3   243.1   272.7   290.6   304.1   320.2   344.3   386.1   496.0   975.1  4471.8  30095.9    30065  1778619379770  1778619389875
read      252.6   103.3    86.8   156.7   172.4   239.0   269.4   287.4   300.6   317.9   342.9   385.7   499.2   797.1  4233.9  30023.2    30070  1778619391390  1778619401496
read      253.3   102.1    93.8   157.6   173.6   240.4   270.1   287.6   300.3   317.2   341.5   383.3   505.2   819.6  4104.2  30099.9    30075  1778619403013  1778619413120
read      255.7   115.6    86.8   156.5   172.9   242.6   272.8   290.8   304.6   321.0   345.6   389.7   505.5   841.5  4213.4  30035.0    30080  1778619414635  1778619424745
read      257.6   119.9    86.8   158.0   174.0   242.9   272.8   290.7   304.3   320.6   345.8   392.1   540.7  1358.5  4629.9  30049.3    30085  1778619426260  1778619436365
read      250.2   106.0    93.8   154.8   170.0   237.2   267.5   285.0   297.3   314.7   337.9   377.1   489.4   796.9  4246.6  30199.6    30090  1778619437879  1778619447986
read      254.0   108.6    93.8   155.3   171.2   240.9   271.2   289.2   302.6   319.1   343.6   387.3   507.6   801.0  4299.6  30201.9    30095  1778619449502  1778619459609
read      254.3   102.3    86.8   158.0   173.9   242.5   272.1   289.5   302.3   318.4   341.8   381.2   487.8   782.9  4135.1  30099.8    30100  1778619461125  1778619471235
read      272.9   112.3    86.8   163.0   180.5   260.3   293.8   313.8   328.9   346.8   372.7   416.1   529.8   949.4  4417.4  30089.4    30105  1778619472751  1778619482857
read      276.7   118.7    86.8   164.3   181.5   260.9   295.0   315.9   332.4   352.8   382.0   431.8   579.5  1292.9  4212.8  30199.8    30110  1778619484371  1778619494479
read      263.5   133.6    86.8   159.4   175.2   248.0   280.0   298.4   314.0   333.4   360.7   408.1   552.0  1058.1  4931.8  30114.7    30115  1778619495994  1778619506102
read      257.9   106.9    86.8   158.8   174.9   245.1   275.7   293.8   308.0   324.5   348.3   391.5   503.9   881.1  4365.5  30152.8    30120  1778619507619  1778619517724
read      261.0   131.6    93.8   159.8   174.7   240.9   271.3   289.9   304.5   322.8   352.3   410.0   624.9  1632.8  4498.8  30134.6    30125  1778619519239  1778619529343
read      245.6   116.1    86.8   153.5   167.7   231.1   260.5   277.2   290.8   307.6   330.9   372.4   499.1  1037.7  4340.5  30138.2    30130  1778619530859  1778619540967
read      254.2   113.0    93.8   157.6   172.8   238.6   268.8   286.5   299.5   317.1   342.8   392.1   547.7  1000.9  4317.3  30144.1    30135  1778619542482  1778619552587
read      279.6   174.2    93.8   156.0   171.3   242.5   277.1   299.8   319.2   348.5   403.1   537.5   891.9  2031.7  4654.7  30146.3    30140  1778619554103  1778619564209
read      291.0   319.5    86.8   157.7   173.1   239.4   270.2   289.3   304.5   324.8   360.7   460.2  1626.9  5021.6  7135.4  30180.4    30145  1778619565727  1778619575830
read      259.1   130.8    93.8   156.3   171.9   240.0   271.2   290.3   305.2   323.8   353.1   410.7   614.9  1341.0  4247.2  30216.5    30150  1778619577346  1778619587453
read      273.6   144.9    86.8   156.8   173.1   248.3   283.7   305.4   322.1   346.2   384.9   464.0   734.4  1770.6  4506.2  30142.5    30155  1778619588969  1778619599085
read      277.5   167.9    86.8   155.6   171.2   244.4   280.2   303.7   323.2   352.0   399.4   508.1   818.0  1993.3  4819.5  30073.8    30160  1778619600602  1778619610711
read      282.5   138.3    86.8   164.6   182.6   263.8   299.0   320.1   338.1   360.4   391.9   448.4   630.9  1447.1  5584.1  30092.3    30165  1778619612228  1778619622334
