Random waveform, supplied seed
Total number of intervals = 360 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330)
Average QPS expected = 57436
Timestamp start: 1778406829263
Timestamp end: 1778408629639

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      242.6   131.1    93.8   154.7   166.6   233.7   260.4   274.5   285.9   297.8   315.6   345.5   422.0  1098.4  7191.8   6936.2     6927
read      298.0   144.2    74.4   129.9   145.0   277.1   345.0   380.9   405.1   435.0   478.7   549.9   706.1  1036.1  2829.9  52939.0    52892
read      341.5   182.3    80.4   139.3   159.5   307.9   382.2   426.3   459.7   499.8   553.3   656.3   949.5  1246.6  3866.0  98635.4    98921
read      280.0   126.8    74.4   127.6   142.2   265.3   329.1   361.7   384.1   408.6   438.9   487.3   578.6   723.8  3294.4  61114.2    61129
read      285.2   110.4    80.4   135.5   151.1   284.6   334.5   360.4   378.2   398.1   423.1   460.4   536.5   642.5  2634.3  40661.0    40613
read      283.6   126.4    74.4   129.7   144.7   273.8   334.5   365.0   385.9   408.4   436.1   480.6   571.8   730.0  2968.3  53090.2    53226
read      283.7   108.8    80.4   135.4   151.2   284.2   331.9   356.9   374.0   393.5   417.2   453.7   531.2   641.8  1649.6  38481.0    38560
read      348.6   172.3    74.4   143.3   165.8   319.3   392.5   435.4   468.0   507.0   561.0   659.8   898.8  1145.6  2513.6 103497.6   103465
read      398.5   205.6    74.4   151.1   177.6   363.0   449.5   497.0   532.7   579.6   656.8   813.7  1039.9  1243.8  3152.2 104685.6   104758
read      303.9   151.4    74.4   133.3   151.3   282.1   344.9   381.6   408.1   440.6   484.6   549.1   706.4  1014.7  2919.6  94600.4    94759
read      284.9   108.2    74.4   136.4   152.1   285.5   333.2   357.9   374.7   394.4   418.5   455.3   531.1   639.5  1937.6  37831.4    37799
read      240.2    86.6    86.8   154.9   168.3   237.5   260.6   272.5   282.1   293.3   308.1   330.7   391.5  1057.2  2954.0   8349.8     8296
read      279.1   129.4    68.9   126.0   141.1   261.3   325.1   358.9   382.7   409.3   443.3   495.6   591.8   831.2  2529.5  69147.2    69443
read      251.2    81.6    93.8   152.8   168.4   249.6   275.1   289.6   299.2   312.1   328.1   356.3   419.3   592.0  3084.3  12470.0    12517
read      280.0   114.1    74.4   131.0   146.3   277.6   329.6   355.4   373.5   394.3   419.7   457.5   536.3   667.5  2964.5  43530.8    43591
read      273.2   102.7    86.8   148.3   165.3   273.2   306.6   322.7   336.4   351.6   372.2   402.0   465.5   671.1  2932.4  20359.2    20430
read      301.2   138.9    74.4   133.7   151.5   281.1   343.2   379.7   405.7   436.9   478.8   541.5   676.8   909.4  2537.6  93779.6    93758
read      245.9    80.6    93.8   154.4   169.0   243.4   267.6   280.7   290.5   301.7   316.9   342.4   402.5  1024.5  2355.2  10466.4    10485
read      263.0    99.3    80.4   150.6   167.3   261.9   291.0   306.8   317.4   331.6   348.7   378.9   439.4   833.7  3855.8  16585.6    16518
read      282.8   124.2    74.4   128.1   143.7   264.5   325.6   360.0   385.1   414.1   451.4   505.9   609.9   763.9  2012.3  83190.0    83230
read      225.6    81.8   101.3   153.5   164.7   220.7   241.6   252.7   261.6   271.6   286.3   309.8   371.8  1055.8  3141.1   5520.8     5484
read      279.1   120.1    74.4   128.4   142.9   268.6   328.5   358.5   379.4   402.4   432.2   477.3   568.0   698.2  2707.1  55480.8    55611
read      267.0    97.2    86.8   145.2   162.3   267.2   299.5   316.0   328.4   343.0   363.5   394.3   460.2   586.1  3533.1  20787.0    20774
read      352.7   175.1    74.4   143.4   165.9   323.2   397.7   442.2   475.8   517.2   572.8   664.3   897.4  1216.9  2717.4  96614.0    96726
read      280.2   102.8    80.4   138.8   154.8   281.5   323.6   344.6   360.7   378.2   400.1   433.5   508.6   636.9  2352.4  32388.2    32442
