#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      273.1   509.3    86.8   155.8   173.4   253.7   289.3   310.8   327.4   348.2   378.5   432.3   597.2  1471.0  4797.4  29983.0    30000  1778619733465  1778619743645
read      257.1   122.6    86.8   155.0   171.3   241.4   272.8   291.7   306.5   324.8   352.0   400.2   540.3  1061.2  4632.9  29973.2    30005  1778619745162  1778619755302
read      261.6   113.5    86.8   158.2   174.8   246.8   278.3   296.5   311.5   329.6   356.0   402.6   551.3  1055.7  4199.8  29944.8    30010  1778619756818  1778619766923
read      252.0   107.1    93.8   155.3   170.8   237.7   267.8   285.4   298.0   316.1   341.3   386.5   513.8  1056.3  4127.0  29937.0    30015  1778619768439  1778619778545
read      261.1   110.9    86.8   158.6   174.7   246.2   277.6   296.0   311.3   329.9   357.0   403.7   544.4   936.3  4232.7  30120.9    30020  1778619780058  1778619790166
read      257.9   118.7    93.8   158.3   173.7   241.2   271.4   289.5   303.2   320.2   346.7   397.4   571.6  1491.6  4270.5  30063.9    30025  1778619791683  1778619801790
read      250.7   121.7    93.8   155.7   170.4   235.2   265.2   282.7   295.6   313.6   338.4   382.4   508.2  1353.7  5123.2  30091.9    30030  1778619803307  1778619813416
read      255.4   117.6    86.8   155.7   171.8   240.7   271.3   289.5   303.2   320.0   345.4   391.8   534.3  1041.0  4352.4  29931.0    30035  1778619814933  1778619825038
read      262.3   125.7    93.8   159.8   175.7   247.5   278.7   296.8   312.1   330.6   356.7   401.7   537.8  1176.4  5118.2  30056.9    30040  1778619826554  1778619836661
read      255.8   114.0    93.8   157.3   173.5   242.1   272.3   290.3   303.9   320.3   345.0   389.2   509.4  1054.6  4159.3  30037.0    30045  1778619838177  1778619848288
read      254.6   111.1    86.8   156.2   171.8   239.6   270.4   288.8   302.7   320.0   345.8   393.5   526.3   961.7  4308.2  30022.7    30050  1778619849804  1778619859923
read      252.3   107.9    93.8   157.7   173.0   238.6   268.1   285.4   297.6   315.3   339.5   382.5   499.0  1015.7  4132.2  30095.1    30055  1778619861438  1778619871545
read      254.8   105.3    86.8   157.1   173.6   242.0   271.9   289.8   303.1   319.4   344.0   386.9   503.9   787.2  4288.3  30033.7    30060  1778619873059  1778619883167
read      257.1   116.5    86.8   156.8   172.4   240.2   270.8   289.2   303.3   320.8   348.3   399.6   573.9  1349.4  4158.0  30020.5    30065  1778619884683  1778619894791
read      256.7   117.4    86.8   155.8   171.9   241.4   272.3   290.8   305.1   322.4   348.9   397.6   543.0  1157.2  4358.5  30028.7    30070  1778619896307  1778619906413
read      250.7   101.0    86.8   155.8   171.8   238.2   267.7   284.8   296.9   314.0   337.4   377.2   488.5   828.8  4156.7  30080.6    30075  1778619907929  1778619918037
read      254.2   117.1    93.8   156.1   171.5   238.4   269.0   287.0   300.3   318.3   344.0   391.7   539.0  1264.3  4743.3  30066.5    30080  1778619919555  1778619929664
read      256.0   118.5    86.8   158.6   174.1   241.9   271.8   289.6   303.1   319.8   344.7   390.3   516.0   904.1  4514.5  30000.8    30085  1778619931181  1778619941294
read      261.3   129.0    93.8   157.5   173.7   243.2   273.9   292.6   307.3   325.5   353.5   406.0   615.7  1408.5  5165.1  30033.9    30090  1778619942810  1778619952921
read      255.8   112.9    93.8   156.6   172.9   241.6   271.8   289.8   303.3   320.2   345.1   391.9   531.6   948.1  4310.9  29965.0    30095  1778619954437  1778619964541
read      255.9   109.8    93.8   157.8   174.0   242.4   272.4   290.2   303.8   320.3   345.0   390.0   509.6   865.0  4248.2  30073.5    30100  1778619966057  1778619976163
read      266.8   135.0    93.8   158.2   173.9   245.5   278.4   298.0   314.7   336.2   367.9   430.7   654.5  1659.2  4376.2  30166.6    30105  1778619977681  1778619987787
read      290.8   130.6    86.8   166.9   185.7   270.7   309.2   333.3   352.0   375.4   409.5   469.3   641.2  1355.7  4261.4  30092.7    30110  1778619989303  1778619999410
read      257.1   110.6    93.8   157.0   172.8   242.1   273.6   292.5   307.3   325.1   351.4   398.1   525.6   882.3  4261.8  30074.7    30115  1778620000926  1778620011032
read      265.0   115.6    86.8   159.4   175.4   249.5   283.1   302.7   317.6   337.3   364.3   411.4   560.7  1018.8  4222.9  30105.6    30120  1778620012548  1778620022659
read      255.8   108.1    86.8   159.2   174.4   240.5   270.5   288.6   302.2   319.5   345.0   394.0   549.4   946.4  4267.2  30186.2    30125  1778620024175  1778620034285
read      246.5   106.8    86.8   155.1   169.7   232.8   261.7   278.2   291.4   308.1   331.5   372.5   490.8   907.2  4263.2  30234.1    30130  1778620035802  1778620045906
read      250.9   108.6    86.8   157.7   172.7   237.8   267.2   284.3   296.5   313.6   336.5   374.8   489.2   999.4  4232.4  30113.4    30135  1778620047420  1778620057525
read      249.1   112.3    93.8   157.2   171.7   234.8   263.8   280.6   293.4   310.4   334.0   374.7   507.6   971.6  4366.6  30131.4    30140  1778620059042  1778620069159
read      250.9   107.0    93.8   157.4   172.1   236.5   266.7   284.3   296.8   314.4   338.6   381.4   506.2   890.1  4161.2  30149.9    30145  1778620070680  1778620080810
read      259.6   114.5    86.8   158.5   174.1   242.5   274.0   293.2   308.5   327.5   355.9   406.7   567.8  1128.0  4225.9  30105.3    30150  1778620082328  1778620092440
