Random waveform, supplied seed
Total number of intervals = 180 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036)
Average QPS expected = 56542
Timestamp start: 1778011460580
Timestamp end: 1778013260908

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      305.0   208.2    86.8   136.7   151.1   275.4   334.4   368.1   394.4   428.4   475.5   552.6   830.0  2510.1  7521.3  52645.1    52488
read      304.5   137.4    80.4   145.4   162.8   291.0   341.1   368.7   389.6   415.2   451.8   508.5   668.7  1488.2  2846.6  36931.7    36950
read      317.8   149.7    93.8   168.2   194.4   306.0   344.9   366.9   382.9   401.5   430.4   484.7   678.6  1443.3  5571.8  16780.2    16762
read      613.4   885.2    86.8   155.1   179.5   340.6   434.3   507.5   580.3   721.2  1437.9  2577.5  4589.7  7854.7  9859.3  79588.4    79473
read      272.9   134.4    86.8   136.9   150.1   254.8   307.7   334.4   352.9   374.2   403.7   462.8   656.9  1305.0  3360.9  61520.4    61431
read      296.7   201.9    86.8   139.8   154.1   257.0   313.3   344.9   368.9   399.0   447.6   562.8  1041.3  2323.7  5530.5  87172.2    87172
read      343.5   307.4    86.8   147.2   164.3   279.3   341.7   380.8   412.8   457.6   527.5   680.9  1685.3  3454.1  7738.5 108377.1   108181
read      277.0   156.8    80.4   135.0   148.4   246.3   302.4   332.8   354.5   381.2   420.3   503.9   802.4  1807.8  3529.3  80655.0    80515
read      284.8   129.8    86.8   143.5   159.4   274.6   317.1   339.8   356.8   376.7   404.6   463.9   616.6  1374.7  3212.5  37164.3    37149
read      300.5   139.3    93.8   174.1   196.0   285.7   320.3   340.3   355.4   373.4   400.6   453.9   657.7  1430.8  5050.9  13411.4    13444
read      575.1   893.9    86.8   148.2   167.8   308.8   382.7   437.1   492.3   587.1  1259.5  2655.4  4613.6  7818.2  9318.2  71959.1    72057
