Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1777990663056
Timestamp end: 1777992463370

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      273.5   146.2   101.3   178.3   195.1   258.4   283.1   296.4   307.9   319.7   339.4   372.1   692.2  1636.0  6136.6   6904.1     6927
read      303.9   204.8    86.8   130.9   144.7   271.4   332.0   369.0   396.6   431.4   481.8   572.4   898.1  2255.3  7144.6  52957.8    52892
read      342.5   349.7    86.8   139.1   154.7   267.2   327.0   363.7   392.9   433.5   509.7   750.7  1913.1  3712.6  7851.2  99003.5    98921
read      272.9   138.2    86.8   130.7   143.8   255.0   309.4   337.3   357.4   380.6   412.7   471.2   660.4  1403.9  3277.7  61101.5    61129
read      299.2   166.7    86.8   135.8   151.1   278.3   332.8   364.0   386.7   414.1   452.4   517.6   749.2  1848.4  4709.3  40603.1    40613
read      343.2   218.9    86.8   134.9   151.8   301.2   389.4   438.3   474.0   515.6   567.7   649.0   976.3  2208.3  5728.9  53153.2    53226
read      300.1   151.3    86.8   139.8   155.5   281.9   331.4   360.2   381.1   406.1   443.3   513.0   791.3  1621.8  2970.8  38454.0    38560
read      357.7   405.5    80.4   140.7   157.3   275.5   337.2   373.8   403.3   446.6   519.7   716.9  2330.2  4291.6  7981.3 103377.8   103465
read      308.7   264.4    86.8   138.3   153.3   259.9   316.7   349.4   374.0   405.4   456.3   576.7  1357.7  3329.5  7590.8 104767.6   104758
read      293.7   212.3    86.8   135.8   150.4   254.0   310.5   341.9   365.7   395.1   438.8   550.9  1052.9  2518.6  5494.5  94676.3    94759
read      282.7   128.7    86.8   139.9   155.4   274.8   316.7   339.7   356.3   374.6   401.1   449.8   617.5  1445.5  3293.9  37804.1    37799
read      277.2   151.7    93.8   172.9   191.0   259.7   286.3   301.5   313.7   328.7   349.0   393.0   804.6  1741.3  6104.2   8327.7     8296
read      394.3   460.5    80.4   132.0   146.4   273.2   348.6   404.8   456.7   529.4   658.7  1096.1  2548.1  4717.4  8027.2  69398.7    69443
read      276.0   124.6    86.8   166.0   187.8   265.2   294.2   311.4   323.3   339.9   361.8   396.5   545.4  1306.6  5644.2  12509.0    12517
read      329.6   194.1    80.4   133.3   150.0   300.7   378.1   418.0   446.3   479.8   522.1   587.6   859.4  2059.3  4601.6  43722.1    43591
