#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      398.3   259.1    86.8   173.4   195.4   335.9   429.1   488.3   533.6   590.6   668.3   798.4  1136.9  2995.1  6752.1  30059.0    30000  1778618127849  1778618138089
read      407.6   315.1    93.8   161.9   179.7   304.4   427.2   515.5   579.8   656.4   758.2   923.4  1354.9  4149.0  7226.3  29997.0    30005  1778618139606  1778618149752
read      419.7   308.6    86.8   161.7   180.9   324.1   453.4   538.1   599.0   671.6   769.6   927.0  1337.8  4134.3  6106.2  30091.0    30010  1778618151270  1778618161376
read      415.7   355.2    93.8   163.7   183.3   318.3   438.5   520.2   580.6   654.5   753.9   922.1  1349.6  4643.1 10800.8  29993.1    30015  1778618162893  1778618173016
read      424.9   308.1    93.8   165.5   186.5   333.8   457.2   538.2   599.2   672.7   770.0   929.7  1347.8  4065.6  6289.6  30032.0    30020  1778618174535  1778618184647
read      399.9   293.7    86.8   163.2   182.8   311.8   417.8   494.2   552.5   623.4   715.3   870.9  1316.8  3710.5  6234.4  29947.7    30025  1778618186164  1778618196270
read      378.4   262.9    86.8   163.2   182.4   300.4   392.1   460.5   515.9   584.2   670.8   813.2  1173.9  2780.2  6427.2  30134.0    30030  1778618197786  1778618207894
read      360.4   240.8    86.8   162.9   181.0   289.0   371.1   431.3   481.0   545.5   630.4   764.8  1119.6  2541.5  5174.7  29996.4    30035  1778618209413  1778618219523
read      319.9   227.4    86.8   156.8   173.9   258.6   309.0   348.7   387.9   446.3   545.0   704.4  1081.8  2368.9  5404.5  29958.7    30040  1778618221039  1778618231150
read      256.1   109.4    86.8   155.4   172.1   242.7   273.5   291.7   305.7   322.3   346.8   391.9   509.6   934.3  4208.6  30007.0    30045  1778618232668  1778618242778
read      256.9   120.8    86.8   158.0   174.1   243.1   273.4   291.6   305.3   321.4   345.8   388.7   501.7  1512.6  4426.6  30086.2    30050  1778618244295  1778618254429
read      266.6   116.6    86.8   158.3   175.6   251.1   284.4   304.1   319.0   339.1   366.1   412.3   554.8  1414.1  4227.1  30066.3    30055  1778618255946  1778618266054
read      262.5   136.3    86.8   159.0   175.5   246.9   278.5   296.9   312.3   330.9   357.2   400.7   523.1  1779.7  5443.3  29936.7    30060  1778618267574  1778618277687
read      259.5   114.2    93.8   158.6   174.7   245.3   276.1   294.5   309.3   327.2   352.8   397.1   524.8  1111.4  4396.0  30037.5    30065  1778618279203  1778618289312
read      257.9   110.8    86.8   159.4   175.1   244.5   274.8   293.0   307.1   323.8   348.0   392.0   503.5  1115.8  4274.7  30038.5    30070  1778618290828  1778618300940
read      257.3   117.9    86.8   156.7   173.2   243.2   274.0   292.6   306.9   324.0   349.5   394.3   508.9  1111.8  4541.6  30128.4    30075  1778618302458  1778618312572
read      256.6   109.9    86.8   156.9   173.5   243.6   274.0   292.2   306.2   322.5   346.3   389.6   504.4  1035.5  4233.7  30045.4    30080  1778618314091  1778618324210
read      261.9   123.8    86.8   158.4   174.9   247.2   278.6   296.7   312.0   330.4   356.1   401.6   537.1  1370.5  4233.1  30128.4    30085  1778618325727  1778618335836
read      247.9   105.5    86.8   154.4   169.3   234.5   264.4   281.3   294.0   311.1   334.6   374.1   484.6  1102.0  4178.6  30073.0    30090  1778618337353  1778618347461
read      249.8    94.8    86.8   156.2   171.9   237.3   267.0   284.1   296.4   313.7   336.9   375.7   473.2   749.5  3460.0  30071.1    30095  1778618348977  1778618359082
read      253.7   146.3    93.8   155.7   171.3   238.8   269.1   287.0   300.0   317.2   341.5   382.9   495.3  1678.9  5362.9  30150.2    30100  1778618360599  1778618370727
read      280.0   686.7    93.8   158.4   173.7   239.2   269.5   287.9   302.1   320.1   346.2   394.5   570.7 11968.1 30577.3  30121.9    30105  1778618372240  1778618382494
read      286.9   466.1    86.8   157.0   173.2   242.6   274.2   293.7   309.6   329.9   361.1   424.0   908.9  8708.8 15500.3  30138.1    30110  1778618384024  1778618394511
read      282.4   407.6    93.8   158.8   174.5   242.5   273.0   291.8   306.7   325.6   355.7   415.5   869.4  6992.4 14985.0  30076.0    30115  1778618396032  1778618406468
read      299.6   433.7    86.8   159.5   177.7   260.3   296.4   318.9   337.4   360.3   392.5   452.7   885.5  7060.0 15895.4  30109.7    30120  1778618407999  1778618418481
read      264.8   136.9    86.8   159.8   175.8   249.5   282.2   301.2   316.5   336.1   362.6   405.4   527.0  1494.4  5704.5  30157.0    30125  1778618420002  1778618430174
read      252.3   136.4    86.8   154.2   168.9   237.2   269.0   287.6   301.4   319.1   344.5   388.3   497.2   940.0  6082.6  30163.9    30130  1778618431687  1778618441895
read      252.8   139.8    93.8   157.3   172.0   237.8   268.7   286.9   300.2   317.8   342.5   384.6   490.0  1051.7  6445.7  30096.7    30135  1778618443409  1778618453608
read      251.6   126.8    93.8   155.9   171.3   237.1   268.2   286.2   299.3   316.8   340.8   381.3   491.2   915.9  5018.6  30199.1    30140  1778618455121  1778618465341
read      249.8   131.2    93.8   155.4   170.2   235.0   265.5   283.2   296.2   313.9   338.2   378.7   486.7  1089.6  5112.6  30173.0    30145  1778618466855  1778618477063
read      252.4   144.3    93.8   157.6   172.3   236.3   266.8   284.7   297.5   315.6   340.0   381.8   497.0  1561.8  6572.7  30136.5    30150  1778618478576  1778618488790
