Random waveform, supplied seed
Total number of intervals = 360 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330)
Average QPS expected = 57436
Timestamp start: 1778009191142
Timestamp end: 1778010991528

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      289.1   101.7    93.8   158.4   178.7   280.9   316.0   335.6   349.2   367.3   391.7   434.7   592.8  1237.3  1962.7  20771.0    20774
read      504.5   597.5    86.8   159.9   183.8   334.0   420.0   485.7   548.0   653.1   919.8  1572.6  3309.3  6446.4  8136.1  96573.0    96726
read      288.0   112.7    93.8   154.0   172.0   282.4   319.5   338.9   352.9   369.7   393.6   435.3   579.0  1304.1  2937.1  32518.8    32442
read      287.2   171.1    86.8   137.9   152.2   259.9   315.8   345.1   367.0   393.3   431.4   508.9   830.4  1806.9  6130.1  73065.0    73039
read      281.2   166.2    86.8   136.4   150.3   256.3   312.5   341.2   362.0   387.0   422.8   494.5   740.1  1718.3  6504.6  73982.6    74055
read      280.1   123.3    93.8   139.5   153.8   270.3   319.6   343.8   361.4   381.5   408.7   462.1   603.4   975.9  3155.9  51184.8    51197
read      276.1   130.7    86.8   135.4   149.4   260.1   313.4   339.7   358.4   380.0   408.9   466.7   641.3  1434.6  2580.4  59586.2    59442
read      283.2   124.7    80.4   145.0   161.9   277.5   316.5   336.5   350.3   368.4   393.3   436.7   598.5  1192.6  3685.9  35612.8    35654
read      292.8   191.8    86.8   136.8   151.2   260.0   316.2   345.7   368.2   395.9   438.1   539.1   957.9  2087.1  4437.5  78803.2    78747
read      282.8   124.7    86.8   141.6   157.4   275.0   318.7   340.8   357.0   375.4   401.9   455.8   619.9  1221.8  2468.3  42209.6    42212
read      288.7   170.8    86.8   137.7   152.2   269.8   321.0   346.9   366.2   389.8   424.2   495.0   729.7  2057.6  5696.2  52460.8    52488
read      301.5   151.3    86.8   140.2   156.4   283.1   333.1   361.0   381.7   407.0   447.7   519.1   804.3  1548.6  2955.4  37034.2    36950
read      283.2   104.7   101.3   162.7   183.8   273.6   305.6   323.1   336.5   351.6   372.8   413.1   581.0  1429.9  1868.8  16695.4    16762
read      398.4   442.9    86.8   141.8   159.1   290.6   362.6   413.5   463.7   541.0   667.8   971.4  2396.7  5038.3  8030.1  79464.8    79473
read      274.6   122.9    86.8   135.0   148.8   258.7   313.2   340.2   359.3   381.2   410.6   467.5   630.2  1198.6  2180.4  61320.4    61431
read      307.1   249.7    86.8   138.7   153.5   261.8   319.7   351.9   375.6   406.4   457.4   574.9  1246.9  3158.0  7500.8  87142.0    87172
read      423.1   469.6    86.8   153.9   175.9   321.2   401.2   457.9   504.2   564.9   655.9   869.3  2996.3  5588.4  8259.4 107963.4   108181
read      286.4   171.2    86.8   135.5   149.6   254.5   311.7   342.0   364.3   391.8   432.8   523.7   903.5  1938.8  3286.9  80306.6    80515
read      278.8   114.3    93.8   144.7   160.8   274.5   316.0   337.1   351.6   369.0   392.2   430.2   535.1   919.0  3285.3  37177.6    37149
read      275.8   107.8    93.8   171.0   191.7   267.7   294.2   309.9   320.2   335.0   352.8   385.4   507.2  1404.5  4872.8  13443.0    13444
read      342.0   308.6    86.8   139.9   155.4   279.2   342.4   380.9   414.0   464.8   548.9   719.4  1557.3  3666.3  7975.8  72049.2    72057
