#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      257.2   110.5    93.8   159.8   174.4   244.7   276.4   294.5   308.5   324.7   347.6   388.0   472.2  1292.8  4428.9  30102.3    30185  1778294646860  1778294656961
read      265.0   109.1    93.8   163.1   178.2   252.8   286.0   304.8   318.4   336.8   361.2   399.7   488.7  1087.5  4239.8  30189.9    30190  1778294658474  1778294668583
read      255.6    96.3    86.8   160.3   174.6   244.4   275.7   293.5   307.1   322.2   345.0   383.8   466.3   720.0  4125.9  30166.7    30195  1778294670101  1778294680209
read      259.2   104.1    86.8   161.7   175.9   247.5   280.2   298.1   312.2   328.9   351.7   391.2   473.5   717.4  4202.5  30187.2    30200  1778294681721  1778294691828
read      261.0   119.7    93.8   163.2   177.7   248.0   279.8   297.5   311.7   328.1   350.0   389.0   476.0  1661.8  4895.9  30136.7    30205  1778294693340  1778294703446
read      260.9   100.3    93.8   162.8   177.5   249.0   281.3   299.0   313.0   329.8   352.6   392.3   478.8  1105.4  3692.8  30276.3    30210  1778294704960  1778294715062
read      255.5   111.4    93.8   162.2   176.2   243.8   274.6   292.1   305.0   319.6   341.7   377.6   462.2   934.1  4305.7  30219.2    30215  1778294716574  1778294726683
read      256.2   106.4    93.8   160.2   174.5   244.7   276.1   294.1   307.8   323.4   346.0   384.7   465.8   751.8  4100.3  30207.5    30220  1778294728196  1778294738300
read      260.1   187.4    93.8   162.5   177.1   248.4   280.6   298.4   312.3   328.7   350.9   388.7   467.1   709.5  3734.0  30159.8    30225  1778294739814  1778294749918
read      252.2    94.5    93.8   158.5   172.3   240.3   271.7   289.7   302.8   318.8   341.7   379.4   465.2   746.6  3522.8  30311.3    30230  1778294751431  1778294761537
read      256.9    97.1    93.8   159.7   174.5   245.4   277.0   295.0   309.1   325.5   348.3   387.6   469.3   738.4  3997.1  30235.5    30235  1778294763051  1778294773155
read      259.9   109.9    93.8   161.8   176.2   247.9   280.2   297.8   312.4   329.5   352.9   392.2   472.8   813.9  4378.4  30221.2    30240  1778294774667  1778294784771
read      252.5    95.1    93.8   159.5   173.6   240.5   271.7   289.5   302.4   318.2   340.6   378.1   466.4   797.2  3521.3  30342.9    30245  1778294786283  1778294796392
read      259.2   107.6    93.8   159.6   174.9   247.3   279.6   297.7   312.3   329.4   352.5   392.2   475.7   835.1  4217.3  30185.2    30250  1778294797916  1778294808021
read      262.3   100.0    93.8   165.2   180.2   250.8   282.5   300.4   314.0   330.7   353.3   392.2   476.3   832.7  3697.1  30305.1    30255  1778294809533  1778294819637
read      254.1   316.9   101.3   159.5   173.6   242.0   272.9   290.6   303.6   319.0   341.7   378.8   466.3   911.9  3444.3  30257.9    30260  1778294821149  1778294831251
read      256.7    90.3    93.8   161.4   175.9   246.2   277.4   294.9   308.5   323.8   345.8   384.4   465.3   635.7  3261.1  30216.6    30265  1778294832765  1778294842868
read      255.6   103.9    93.8   161.3   175.4   243.6   274.3   292.2   305.5   320.6   343.3   381.3   465.1  1057.1  4224.3  30342.8    30270  1778294844381  1778294854497
read      255.2    94.3    93.8   161.1   175.3   244.2   275.2   293.0   306.4   321.1   343.5   379.5   461.4   812.2  3211.6  30201.2    30275  1778294856011  1778294866110
read      258.2   100.9    93.8   162.0   176.4   246.5   277.9   295.6   309.4   325.0   346.7   386.2   470.7   991.9  4107.4  30244.0    30280  1778294867624  1778294877728
