Random waveform, supplied seed
Total number of intervals = 360 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330)
Average QPS expected = 57436
Timestamp start: 1778006439439
Timestamp end: 1778008239816

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      272.2   127.9   101.3   170.0   188.4   259.4   286.2   301.3   312.9   326.3   344.0   378.0   579.4  1553.0  3938.9   6879.8     6927
read      366.4   291.3    86.8   140.1   156.7   306.9   390.3   445.6   487.1   535.9   599.1   717.8  1429.1  3738.8  7347.8  52827.4    52892
read      431.6   572.5    86.8   150.5   171.3   307.7   374.3   420.1   458.6   511.7   594.9   878.2  3450.8  6563.8  9465.8  98789.0    98921
read      276.6   123.7    86.8   135.8   149.6   261.4   315.4   342.1   361.3   383.5   413.1   469.0   643.2  1132.8  2323.9  61188.4    61129
read      278.3   107.3    86.8   141.9   157.4   274.0   317.6   339.0   354.2   371.6   396.1   435.9   550.2   893.9  2559.4  40674.6    40613
read      291.3   155.2    86.8   135.6   150.2   271.2   326.5   356.0   377.9   404.9   447.1   520.0   722.3  1519.8  4229.8  53201.4    53226
read      301.5   160.4    86.8   141.3   157.4   283.0   335.0   363.6   385.0   411.0   448.6   512.5   747.5  1702.1  4384.1  38486.6    38560
read      518.0   618.8    86.8   169.8   199.2   360.2   448.9   508.1   557.4   627.3   762.1  1568.0  3487.4  6924.3  8108.4 103557.4   103465
read      401.5   400.7    86.8   159.4   181.8   321.5   389.3   434.0   472.1   525.7   605.0   771.7  2382.0  4616.3  7953.5 104850.4   104758
read      322.7   272.1    86.8   142.7   159.3   272.9   330.4   363.1   388.1   421.0   472.4   605.9  1458.3  3268.0  7649.5  94596.6    94759
read      280.0   106.6    86.8   145.2   161.4   277.1   318.6   339.4   354.2   371.1   394.5   432.3   535.2   771.0  3777.4  37658.6    37799
read      259.7    96.7    93.8   174.1   191.2   252.4   274.8   288.5   297.1   310.8   327.0   354.9   432.4  1233.4  4860.6   8239.4     8296
read      351.3   313.0    86.8   136.2   151.2   279.6   350.2   399.4   444.0   502.8   588.0   767.9  1637.0  3252.6  7601.7  69273.4    69443
read      271.3   103.7   101.3   165.1   185.4   261.6   289.9   306.2   317.5   332.8   352.2   388.5   534.4  1365.2  2521.5  12466.6    12517
read      306.4   164.0    86.8   138.9   154.6   284.2   339.4   371.6   396.5   428.2   470.4   543.9   778.9  1786.9  3432.6  43595.8    43591
read      292.3   119.4    93.8   161.6   182.4   281.2   316.1   335.9   349.6   367.9   393.4   437.7   626.2  1422.4  2763.4  20374.4    20430
read      439.5   541.3    86.8   152.6   173.9   311.5   379.9   427.5   469.6   534.6   640.2  1325.6  3256.6  6334.2  9572.0  93802.8    93758
read      258.5    85.3   101.3   171.1   190.1   252.4   274.8   288.9   298.0   311.3   327.1   353.5   430.4  1048.7  3182.5  10487.8    10485
read      275.2   115.8   101.3   161.1   182.7   266.2   294.4   311.2   322.5   338.0   358.8   395.8   541.8  1442.9  3213.9  16457.0    16518
read      406.7   410.6    86.8   150.0   169.6   304.5   374.1   423.7   470.4   553.2   692.9  1008.8  2242.9  4468.6  7930.3  83273.0    83230
read      251.5   103.7   101.3   171.5   186.7   243.0   265.2   277.0   287.3   297.8   315.7   342.2   436.2  1258.1  5215.7   5577.6     5484
read      296.2   166.5    86.8   135.7   150.2   272.1   328.6   359.8   383.6   414.3   461.5   544.1   778.7  1615.2  4302.6  55527.4    55611
read      284.7   113.4    93.8   155.0   174.2   275.0   311.9   332.1   345.8   364.5   388.9   431.9   575.7  1445.3  2309.1  20816.6    20774
read      491.5   589.3    86.8   161.3   185.6   333.9   414.0   472.6   525.4   600.5   778.9  1570.7  3352.7  6848.9  8291.5  96596.2    96726
read      281.1   119.9    93.8   148.3   165.0   277.6   316.1   335.9   349.2   366.1   388.0   424.8   523.5  1293.7  4023.7  32450.8    32442
read      277.2   137.3    86.8   134.3   148.3   254.6   310.9   339.6   360.2   384.5   418.7   487.7   726.0  1434.0  2787.1  72968.0    73039
read      280.7   161.1    86.8   135.2   149.1   255.3   311.3   340.4   361.4   386.2   421.5   494.9   783.3  1693.9  3708.6  74198.8    74055
read      274.6   112.8    86.8   136.9   151.0   266.3   315.7   339.8   356.7   375.4   400.7   447.9   583.0   936.6  2242.4  51156.2    51197
read      278.5   137.6    86.8   135.6   149.7   261.9   315.2   341.6   360.7   383.1   413.5   470.1   668.2  1507.2  3181.9  59554.6    59442
