#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      251.3    95.5    93.8   158.5   172.3   239.4   270.7   288.5   301.2   317.2   339.8   375.7   462.9   782.0  3488.8  30030.1    30000  1778293664484  1778293674641
read      250.1   100.0    93.8   160.1   173.6   238.5   268.7   285.8   297.6   313.5   334.5   369.0   453.9  1015.5  4197.0  29989.9    30005  1778293676156  1778293686286
read      259.2    90.6    93.8   162.7   177.3   248.0   280.0   297.4   311.6   328.0   350.6   390.6   471.8   684.7  3097.6  30058.0    30010  1778293687800  1778293697901
read      259.8    98.5    93.8   162.8   177.3   248.0   279.9   297.4   311.7   328.2   350.8   390.1   477.5   900.5  3688.2  30050.2    30015  1778293699415  1778293709524
read      263.4    96.3   101.3   163.1   178.2   251.5   284.1   302.7   316.5   334.8   359.8   400.1   490.0   766.7  3287.6  30071.1    30020  1778293711036  1778293721139
read      270.6   103.4    93.8   166.4   182.5   258.2   291.8   311.5   326.0   344.2   370.1   409.5   498.0   908.9  3220.3  30043.1    30025  1778293722652  1778293732755
read      250.7   107.2    93.8   161.7   174.6   237.3   267.5   284.7   296.7   313.1   334.8   371.0   468.8  1040.6  4295.0  29968.4    30030  1778293734269  1778293744371
read      245.5    90.9    93.8   159.5   172.2   234.1   263.2   279.6   292.0   307.0   326.3   360.6   447.5   852.2  3205.2  30028.6    30035  1778293745884  1778293755988
read      247.1   110.9    93.8   159.9   172.5   234.1   263.9   280.6   292.9   308.4   328.7   364.5   456.5  1092.2  4601.2  30102.8    30040  1778293757501  1778293767610
read      248.1    99.0    93.8   161.6   174.3   236.3   266.1   282.7   294.6   309.9   329.5   363.9   450.4   919.9  4069.7  30012.5    30045  1778293769122  1778293779222
read      246.8    99.3   101.3   160.9   173.0   234.3   264.1   280.8   293.2   309.0   329.8   366.0   458.9   753.3  4210.5  29884.5    30050  1778293780735  1778293790838
read      248.3    99.2   101.3   161.2   173.8   235.7   265.8   282.5   294.5   310.2   330.7   366.7   464.2   859.3  4067.3  30071.9    30055  1778293792352  1778293802458
read      249.4   107.6   101.3   161.6   174.4   236.4   266.4   283.2   295.1   310.9   331.7   367.1   460.7  1105.9  4234.4  30006.3    30060  1778293803974  1778293814079
read      251.0    91.3   101.3   163.1   176.3   239.3   269.0   285.9   297.4   313.4   334.1   368.3   459.1   905.7  3530.6  30142.8    30065  1778293815593  1778293825702
read      247.6   104.8   101.3   161.6   174.3   235.4   265.2   281.9   294.0   309.3   328.9   362.7   447.7   815.3  4738.6  30119.1    30070  1778293827215  1778293837322
read      252.4   100.9    93.8   163.7   177.0   240.5   270.1   287.1   299.0   314.7   335.5   369.3   455.6   825.7  4158.0  30106.1    30075  1778293838835  1778293848944
read      251.7   113.1    93.8   163.2   176.1   239.1   269.0   285.9   297.4   313.2   333.6   367.1   456.8  1297.9  4375.9  30119.4    30080  1778293850458  1778293860562
read      247.1    97.7   101.3   162.1   175.0   236.2   265.3   281.4   293.0   307.7   326.2   358.4   434.4   734.4  4124.8  30059.5    30085  1778293862076  1778293872186
read      249.8   102.7   101.3   162.6   175.6   237.9   267.6   284.3   296.0   311.6   331.5   364.9   453.2   834.9  4241.1  30113.1    30090  1778293873701  1778293883806
read      246.5    94.1    93.8   161.3   173.9   235.2   264.5   280.9   292.9   307.8   326.6   358.8   436.2   887.0  3693.8  30092.0    30095  1778293885320  1778293895427
read      257.4   107.4    93.8   161.4   175.6   245.1   276.9   294.8   308.7   324.6   346.9   387.2   474.2   897.2  4029.1  29986.1    30100  1778293896941  1778293907047
read      256.0   110.6    93.8   161.0   174.8   243.5   274.5   292.4   305.7   320.5   343.2   380.9   469.8  1525.9  4169.3  30002.6    30105  1778293908561  1778293918669
read      253.8   112.8    93.8   159.2   173.2   240.2   271.7   289.7   302.7   318.4   341.3   379.3   468.8  1699.1  4070.4  30039.6    30110  1778293920184  1778293930285
read      250.6   102.0    93.8   158.5   172.2   237.9   268.8   286.4   298.9   315.1   337.1   372.7   462.4  1415.4  3917.4  30068.5    30115  1778293931799  1778293941901
read      253.0   100.4    93.8   160.1   173.7   240.5   271.5   289.3   302.3   318.0   340.7   378.1   467.8  1192.1  3930.9  30131.0    30120  1778293943413  1778293953520
read      249.6    97.6    93.8   157.9   171.4   237.2   268.6   286.5   299.1   315.3   337.2   373.0   460.3   707.4  4007.7  30119.9    30125  1778293955033  1778293965136
read      254.5   102.0    93.8   160.5   174.3   242.0   273.3   291.4   304.9   320.5   343.2   382.3   473.0   969.3  3527.3  30084.1    30130  1778293966649  1778293976753
read      263.5    95.2    93.8   161.6   176.8   251.5   284.8   304.0   318.1   336.9   362.0   401.6   491.7   799.5  3313.7  30163.5    30135  1778293978266  1778293988371
read      252.7    94.9    93.8   159.4   173.6   241.4   272.6   290.5   303.6   318.8   341.0   377.2   462.0   671.7  4087.6  30165.5    30140  1778293989885  1778293999988
read      258.9    98.1    93.8   162.0   176.3   247.4   279.0   296.5   310.6   327.0   349.4   388.4   469.1  1123.4  3191.5  30225.6    30145  1778294001501  1778294011604
read      263.6    98.4   101.3   163.5   178.6   252.1   285.2   303.9   317.7   335.7   359.8   398.4   480.0   713.8  3865.6  30098.8    30150  1778294013117  1778294023218
read      263.3   110.6    93.8   162.7   177.8   251.0   283.9   302.4   316.2   334.3   358.8   398.5   489.2   867.8  4007.7  30060.1    30155  1778294024730  1778294034833
read      261.4   100.9    93.8   162.8   177.7   249.4   281.9   300.3   314.4   331.8   355.1   394.1   479.6   798.7  4091.5  30204.7    30160  1778294036344  1778294046444
read      255.3   100.8    93.8   159.2   173.7   243.6   275.5   293.7   307.5   322.9   345.1   382.9   464.3   974.6  3695.5  30133.8    30165  1778294047957  1778294058060
read      253.9    99.1    93.8   159.7   174.0   242.5   273.7   291.5   304.6   319.5   341.6   377.7   462.0   912.7  3912.2  30172.1    30170  1778294059574  1778294069677
read      256.0    92.6    93.8   160.5   174.8   245.1   276.5   294.6   308.4   323.9   346.0   383.4   464.2   713.2  2975.2  30158.3    30175  1778294071189  1778294081290
read      255.3    90.8    93.8   158.9   173.7   244.4   275.8   293.8   307.6   323.5   346.0   384.6   465.6   747.0  2878.4  30095.3    30180  1778294082803  1778294092906
read      258.8   100.5    93.8   159.6   174.2   246.5   279.5   297.4   311.9   328.9   352.4   393.1   487.5  1013.1  3221.8  30214.8    30185  1778294094418  1778294104523
read      256.8    99.0    93.8   158.5   173.2   244.6   276.8   295.4   309.8   326.4   349.3   390.1   474.7   895.1  3979.4  30222.6    30190  1778294106037  1778294116140
read      258.0   107.9    93.8   161.6   176.0   245.9   277.4   295.2   309.2   325.1   346.8   385.5   468.4  1233.7  4114.9  30139.2    30195  1778294117654  1778294127759
