Random waveform, supplied seed
Total number of intervals = 180 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036)
Average QPS expected = 56542
Timestamp start: 1778411400258
Timestamp end: 1778413200580

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      284.0   119.9    80.4   139.5   155.3   282.7   328.0   351.7   368.1   387.5   411.4   450.0   528.6   674.6  3155.0  36798.9    36950
read      264.2    90.9    86.8   155.6   175.4   261.6   289.6   305.3   317.0   331.8   349.1   376.9   438.6   582.3  3003.1  16827.8    16762
read      290.1   143.1    74.4   130.5   146.5   271.2   332.4   366.4   391.2   421.0   459.9   518.3   637.3   949.6  3635.8  79456.6    79473
read      283.6   126.6    74.4   129.1   144.2   270.5   330.7   362.1   383.9   408.8   442.2   495.2   596.8   771.8  2651.8  61486.2    61431
read      295.7   141.1    74.4   131.3   148.2   275.7   337.3   371.9   397.7   429.2   469.8   534.5   673.0  1009.3  3118.8  87310.2    87172
read      487.0   291.2    74.4   155.5   185.6   451.4   555.1   605.4   644.8   718.1   927.4  1077.4  1270.4  1537.0  7207.6 108020.8   108181
read      346.6   199.4    74.4   134.4   153.1   306.8   388.5   437.0   472.6   514.4   572.0   700.4  1009.7  1247.4  4761.1  80557.3    80515
read      285.0   112.3    80.4   138.7   154.4   284.0   331.1   355.3   371.2   390.5   414.3   452.2   528.4   654.0  2454.2  37173.9    37149
read      262.3    99.1    93.8   162.0   181.3   257.4   284.2   297.5   309.9   322.9   341.3   369.3   433.5  1074.5  3470.8  13462.0    13444
read      281.6   128.3    74.4   128.5   143.4   264.4   326.3   359.9   383.1   410.0   445.7   498.6   599.9   780.5  3304.9  71938.7    72057
read      281.9   133.2    74.4   128.5   143.6   264.8   326.0   359.2   382.3   409.3   444.6   498.1   601.2   787.1  3482.1  70032.0    70041
read      312.8   147.5    74.4   135.6   153.6   288.8   354.3   392.3   421.2   456.3   502.3   578.3   758.3  1050.7  2034.7  90273.9    90162
read      283.3   120.8    74.4   131.9   147.1   274.8   332.3   361.3   381.0   403.0   432.6   476.8   564.7   730.2  2931.9  52019.1    52082
read      278.0    94.5    80.4   148.0   166.2   278.6   312.8   332.0   345.1   361.4   380.4   410.4   475.4   621.7  3368.1  24319.7    24258
read      283.7   130.1    74.4   129.1   144.4   266.3   327.9   361.4   384.9   412.3   448.8   502.9   610.2   812.1  3022.2  72157.0    72013
read      282.9   125.5    80.4   129.9   145.0   270.4   331.0   362.3   383.8   408.1   440.1   489.0   582.3   746.1  2706.6  58022.8    58012
read      283.5   118.1    74.4   134.5   149.9   279.2   332.0   359.0   376.9   398.0   425.4   465.3   543.7   661.5  3256.6  45337.5    45398
read      284.3   116.7    74.4   132.7   148.0   276.8   334.0   362.9   382.5   404.2   433.2   476.3   561.8   694.9  2374.9  50099.5    50177
read      283.7   104.2    80.4   140.8   157.1   283.5   328.0   350.8   366.5   384.6   405.8   442.3   513.2   634.0  2008.8  34525.8    34504
read      281.7   131.1    74.4   128.8   143.7   265.9   327.2   360.1   382.9   409.0   443.4   495.2   592.3   767.4  3274.8  66033.2    66010
read      283.5   126.9    74.4   129.1   144.3   265.8   327.0   361.1   385.2   413.4   450.4   503.8   611.9   792.5  2478.1  73926.0    73937
read      283.0   119.9    74.4   130.5   145.7   273.0   332.3   362.5   383.2   406.2   436.5   483.6   574.0   708.7  1938.6  55117.5    55020
read      284.4   122.8    80.4   131.9   147.3   274.8   333.2   363.2   383.8   406.6   436.8   482.8   572.5   728.5  2965.7  53342.2    53235
read      452.4   274.4    74.4   147.4   173.5   405.8   519.8   574.7   617.1   677.9   815.8  1015.6  1242.8  1485.3  7118.4  97832.1    97743
read      234.3   125.0    93.8   161.6   173.9   226.2   246.1   257.3   266.6   276.3   291.2   315.9   382.8  1178.7  7216.6   5435.4     5419
read      264.4    79.5    86.8   159.0   179.6   261.5   288.5   303.4   315.1   329.3   346.2   373.2   434.6   678.8  2652.8  14728.5    14764
read      242.0    96.3    93.8   163.9   177.8   234.7   256.9   269.5   278.3   290.0   305.3   332.1   395.1  1140.0  3925.9   7449.3     7451
read      289.6   162.2    74.4   132.3   148.0   280.5   336.0   364.0   383.0   404.0   433.3   479.1   593.2  1458.9  6870.9  48108.2    48208
read      268.4   458.1    86.8   152.9   173.1   259.3   287.8   303.0   315.0   329.7   347.5   376.9   444.4   669.4 34226.2  16075.4    16149
read      278.6   124.9    74.4   126.5   141.8   261.0   320.7   354.5   377.9   404.7   441.0   495.8   599.8   804.6  2586.5  78985.9    78989
read      261.4    92.8    80.4   148.5   167.8   260.1   288.4   303.8   315.5   330.0   347.3   375.8   441.7   589.1  2405.6  18842.7    18886
read      277.4   125.3    74.4   126.2   141.4   260.5   320.5   353.4   375.9   402.4   437.2   491.7   593.0   776.1  2555.8  75832.7    75954
read      281.5   112.3    74.4   133.1   148.8   279.4   329.7   355.0   371.7   392.1   417.7   458.2   543.3   703.5  2364.9  44482.8    44409
read      264.5    83.3    80.4   153.9   175.0   261.1   288.9   304.1   316.0   331.1   349.7   381.7   461.3   773.1  2698.5  16413.9    16431
read      281.4   133.1    74.4   128.1   143.8   263.8   321.9   355.0   378.3   405.7   443.0   499.9   613.7   811.8  3486.5  85675.0    85707
read      279.3   118.1    80.4   128.0   142.9   268.8   327.7   357.9   378.3   401.8   432.4   480.0   574.2   736.4  1893.6  58392.6    58253
read      416.0   250.4    74.4   146.3   170.8   363.9   472.5   525.8   563.9   615.2   716.5   952.2  1157.0  1390.6  6321.1 103802.6   103867
read      274.0   143.2    80.4   148.3   167.3   270.9   302.3   319.8   333.8   348.8   369.3   400.4   479.7  1054.7  7835.2  21553.9    21604
read      368.5   217.1    74.4   140.4   161.3   323.0   407.9   461.2   501.2   549.6   620.1   754.9  1090.6  1381.9  5681.8  90429.0    90401
