Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1778367360928
Timestamp end: 1778369161228

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      241.0   109.4    80.4   146.7   162.0   228.3   257.1   275.9   289.9   306.2   327.6   364.6   460.0  1140.1  3932.4   6923.0     6927
read      280.2   276.9    74.4   119.2   134.3   257.7   319.6   351.9   375.6   405.2   445.0   510.7   677.2  1532.6  4361.9  52912.5    52892
read      356.3   216.0    74.4   137.2   159.6   314.4   393.0   440.4   476.6   523.4   589.2   716.3  1049.9  1805.9  5553.0  98965.2    98921
read      278.4   132.5    74.4   122.6   138.6   261.4   322.5   354.6   377.6   404.6   438.0   492.8   616.2   831.1  2981.1  61193.3    61129
read      289.0   131.6    74.4   129.8   147.0   276.8   331.2   359.9   380.9   405.4   437.3   494.4   640.8  1117.0  3179.5  40640.8    40613
read      275.8   122.6    74.4   123.0   138.9   262.1   321.3   351.2   372.5   397.7   428.7   475.6   589.3   849.7  2165.1  53135.2    53226
read      271.1   111.1    68.9   127.0   143.0   265.2   314.5   338.8   356.3   376.0   401.9   440.8   533.3   697.0  2849.3  38509.0    38560
read      381.3   213.4    74.4   144.4   169.9   340.5   425.9   475.2   512.9   562.1   634.5   777.2  1047.2  1386.1  4644.7 103488.3   103465
read      416.5   252.1    74.4   148.5   176.5   372.7   465.0   517.4   558.8   616.2   708.5   872.3  1115.8  1945.3  7294.3 104667.9   104758
read      322.4   170.7    68.9   132.2   152.3   291.9   360.3   401.2   432.1   469.5   521.0   610.1   914.7  1252.3  3282.6  94786.9    94759
read      277.2   116.6    74.4   129.2   145.8   270.5   320.7   345.5   364.0   385.4   412.5   454.3   550.2   785.8  3214.9  37814.9    37799
read      246.6   144.7    80.4   149.1   163.0   229.1   260.1   280.5   295.3   314.0   338.8   381.6   501.4  1578.8  7261.0   8281.9     8296
read      322.1   235.3    68.9   127.7   144.9   276.6   343.9   383.6   413.6   451.2   506.2   630.5  1340.1  2476.4  4945.8  69418.7    69443
read      264.6   101.7    80.4   152.5   171.0   253.2   290.1   310.0   324.0   341.7   366.0   404.2   502.9   731.8  2732.1  12505.9    12517
read      317.6   172.3    68.9   124.7   142.1   292.6   370.9   414.1   443.3   476.8   519.5   584.1   726.4  1740.6  3685.1  43618.7    43591
read      291.2   135.7    80.4   139.8   161.4   280.0   330.1   356.9   375.7   398.8   427.3   470.2   587.1  1033.1  4053.0  20412.3    20430
read      480.9   400.3    74.4   152.4   182.6   379.4   487.3   559.7   616.4   689.5   826.3  1269.3  1882.6  3643.5  8017.6  93634.0    93758
read      258.1   101.1    80.4   151.3   168.8   244.5   279.0   298.6   313.6   331.5   355.7   397.5   519.6   967.1  3119.6  10547.0    10485
read      300.6   127.7    80.4   151.1   173.6   285.6   334.2   361.4   381.3   404.8   436.2   494.2   662.3  1154.8  3335.4  16536.7    16518
read      358.9   333.0    68.9   131.7   151.1   294.7   363.5   405.3   438.1   481.2   543.9   691.0  1825.0  3619.5  7793.9  83188.2    83230
read      238.2   108.5    86.8   151.3   164.2   224.7   251.1   269.0   282.4   297.4   318.6   357.1   459.6  1088.0  4971.9   5494.1     5484
read      298.6   171.1    74.4   124.0   140.1   269.4   337.4   374.5   402.9   435.9   482.8   567.0   795.6  1622.8  3448.5  55632.9    55611
read      281.0   112.3    74.4   138.7   158.6   269.8   315.2   340.0   358.7   381.0   411.2   458.2   571.3   915.8  2738.7  20736.1    20774
read      432.6   334.9    74.4   143.8   170.0   358.2   453.9   511.9   558.9   621.4   727.6   975.9  1766.5  3184.2  7662.5  96674.4    96726
read      278.0   121.5    74.4   131.8   148.8   271.2   317.7   341.7   359.5   379.9   406.7   449.6   569.4   990.3  3124.6  32396.1    32442
read      293.1   174.2    68.9   123.7   140.0   265.3   329.7   365.8   392.6   424.0   464.8   534.3   781.1  1886.8  4274.0  73047.9    73039
read      309.4   246.7    74.4   123.6   140.2   269.9   337.2   375.4   404.2   438.6   487.2   578.7  1043.8  3106.2  7725.6  73974.3    74055
read      278.7   143.7    74.4   122.9   138.5   262.4   322.9   352.9   373.9   399.0   429.7   477.5   618.0  1527.7  3137.1  51169.3    51197
read      272.8   135.2    68.9   120.5   135.8   255.4   317.5   348.6   370.9   397.1   429.0   476.2   588.0   870.8  3543.5  59515.8    59442
read      278.5   112.6    74.4   129.5   146.7   270.2   320.5   346.3   366.0   389.1   418.5   463.8   568.9   734.5  2421.4  35572.6    35654
read      349.6   338.7    68.9   124.9   142.3   272.4   339.3   379.4   411.1   452.2   518.3   861.1  1782.6  3228.2  7564.8  78785.0    78747
read      282.8   299.7    74.4   127.9   144.2   268.2   322.7   349.8   369.8   393.8   424.3   472.1   623.3  1880.2  3783.2  42229.8    42212
read      320.0   201.3    68.9   122.7   139.8   286.0   370.9   419.5   452.8   491.1   538.8   609.9   776.1  1932.7  6694.4  52495.5    52488
read      308.0   173.8    74.4   129.7   147.7   286.4   349.0   386.2   413.0   444.3   485.6   549.6   704.4  2022.7  4611.9  36874.7    36950
