Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1777994605573
Timestamp end: 1777996405877

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      277.9   160.8    93.8   177.9   195.9   264.1   288.7   302.6   313.1   325.2   342.7   372.9   738.1  1718.2  7237.8   6898.0     6927
read      329.3   245.8    86.8   133.8   148.9   293.3   358.1   398.2   429.5   468.9   527.1   625.3  1029.1  2850.8  7917.0  52809.1    52892
read      341.4   382.0    86.8   137.4   152.4   267.4   328.2   363.2   390.8   427.6   492.3   689.2  2030.4  4530.7  7995.8  98837.2    98921
read      283.5   147.9    86.8   131.5   144.8   264.3   320.7   349.6   371.1   397.7   433.9   505.0   734.4  1467.0  2928.7  61200.5    61129
read      305.3   165.2    86.8   139.2   154.6   290.6   341.3   369.7   391.1   416.4   450.6   514.2   757.7  1798.9  5408.0  40613.7    40613
read      307.7   172.6    86.8   133.5   148.0   285.3   343.8   378.1   403.8   435.5   481.0   562.4   845.7  1812.9  3855.9  53249.2    53226
read      303.1   153.9    86.8   142.0   158.4   291.4   339.3   366.0   385.7   408.6   438.9   496.8   709.1  1750.3  4030.7  38563.8    38560
read      350.8   378.6    86.8   140.2   156.3   275.6   339.2   376.4   405.9   447.9   518.6   696.3  2106.8  4103.6  7949.3 103547.5   103465
read      303.9   229.1    80.4   138.3   152.9   260.5   319.1   352.0   376.3   407.7   457.8   579.5  1157.1  2709.1  6851.9 104685.3   104758
read      277.5   153.1    86.8   133.1   146.7   246.9   305.5   336.2   358.4   385.4   423.5   507.4   830.7  1513.4  2899.1  94733.1    94759
read      286.0   144.0    86.8   141.2   156.9   281.1   323.6   345.4   362.4   381.9   407.1   452.5   585.3  1327.2  3815.8  37856.1    37799
read      274.2   118.1   101.3   174.2   193.2   263.9   289.7   304.3   315.0   328.3   345.1   376.8   563.3  1342.2  4581.2   8288.2     8296
read      451.3   651.5    86.8   137.5   153.7   295.8   367.2   419.5   466.1   536.1   664.5  1363.4  3555.8  7510.3  8777.3  69378.5    69443
read      282.6   113.6    93.8   168.0   191.2   275.3   304.2   320.0   333.1   346.7   368.0   400.8   511.4  1261.3  4086.8  12511.4    12517
read      362.4   211.8    86.8   140.2   159.9   332.8   414.0   457.8   489.6   527.1   573.7   646.0   974.5  2126.0  5463.7  43597.6    43591
read      321.3   139.6    93.8   157.3   180.0   310.5   356.9   381.7   399.3   420.6   447.5   494.7   720.4  1488.6  3109.0  20419.5    20430
read      461.5   647.2    86.8   144.0   162.7   302.3   374.0   423.6   467.1   533.3   658.4  1484.3  3600.7  7263.1  8128.9  93712.3    93758
read      259.8    88.1   101.3   170.2   189.2   255.6   278.4   291.2   300.0   311.7   325.3   348.3   414.8  1155.1  3779.6  10539.5    10485
read      314.1   159.7    86.8   161.8   186.9   303.8   343.8   366.2   382.1   400.4   425.3   465.2   637.4  1719.3  7153.9  16529.5    16518
read      400.2   563.0    86.8   137.9   153.0   280.0   343.0   380.6   411.7   458.6   554.3  1065.0  3062.9  6936.4  8418.7  83209.1    83230
read      249.9   125.6   101.3   173.6   188.0   242.7   263.2   273.6   282.1   291.6   304.2   323.8   389.9  1253.5  6190.3   5508.9     5484
read      315.8   203.8    86.8   136.4   150.7   285.6   346.2   383.3   412.1   448.8   501.0   592.1   941.8  2087.5  6257.8  55648.2    55611
read      312.4   146.1    93.8   160.2   181.9   298.1   338.4   362.3   379.8   401.4   431.2   487.3   732.8  1638.3  4120.0  20739.5    20774
read      436.7   569.9    86.8   146.0   164.3   303.6   375.1   424.1   466.4   531.2   640.7  1175.5  3292.2  6696.7  8091.1  96651.1    96726
read      286.7   136.2    86.8   146.4   162.7   282.5   320.1   340.7   355.9   373.2   398.8   440.6   579.7  1341.5  4156.7  32432.4    32442
read      345.2   312.2    86.8   137.0   151.6   278.9   345.4   388.7   426.0   480.9   570.5   732.8  1638.5  3573.4  7739.3  73010.1    73039
read      281.9   608.9    86.8   132.9   146.0   252.8   312.1   341.3   362.4   387.4   421.2   486.7   755.6  1862.8 13030.4  74004.6    74055
read      292.0   161.4    86.8   138.7   153.1   276.3   326.7   352.9   371.8   396.2   429.4   496.4   739.7  1967.9  3931.5  51216.3    51197
read      329.3   242.9    80.4   135.8   150.4   286.8   350.7   391.3   423.7   466.1   528.3   639.5  1253.9  2558.9  7468.6  59414.0    59442
read      310.3   158.2    86.8   143.2   160.7   300.6   349.7   377.0   397.5   421.8   454.2   508.5   662.5  1573.6  4656.0  35725.3    35654
read      421.5   614.3    86.8   135.9   151.4   278.5   340.0   375.7   405.2   451.8   558.8  1458.2  3369.6  6762.8  8107.3  78711.8    78747
read      287.0   130.6    86.8   137.2   151.9   280.3   325.7   349.2   367.0   388.9   418.0   468.0   640.0  1355.8  2545.8  42141.4    42212
read      309.4   180.0    86.8   133.4   148.2   287.9   346.3   381.2   407.2   438.7   484.1   564.5   804.1  1743.5  5572.3  52468.3    52488
read      297.5   164.9    86.8   142.0   158.2   290.6   336.7   361.5   379.0   400.5   429.3   478.4   650.4  1317.4  2797.2  36939.9    36950
read      326.7   172.8    93.8   164.2   190.4   310.5   352.8   376.3   394.6   416.3   445.3   501.8   836.5  1741.1  7198.1  16704.6    16762
read      419.3   590.3    86.8   138.9   154.4   287.3   351.5   391.0   424.8   476.7   584.2  1269.6  3410.1  6798.6  8122.7  79261.9    79473
read      273.8   126.3    86.8   133.7   147.0   259.9   315.7   342.4   361.3   382.8   410.4   458.9   628.2  1066.3  3248.6  61450.7    61431
read      296.5   217.2    86.8   136.6   150.5   258.3   317.9   349.1   372.1   400.6   441.8   544.2  1069.7  2463.8  6811.7  87286.9    87172
read      386.0   356.3    86.8   151.3   170.7   311.8   384.7   432.2   472.1   530.7   620.1   800.3  1874.2  4032.9  7907.9 108172.2   108181
read      277.8   149.4    86.8   134.0   147.4   251.9   310.9   340.6   362.1   387.8   423.2   496.6   748.5  1403.2  3357.9  80619.5    80515
