benchmark,interference,execution_time_s,success
barnes,baseline,141.319,True
blackscholes,baseline,0.862,True
canneal,baseline,9.117,True
freqmine,baseline,6.391,True
radix,baseline,60.985,True
streamcluster,baseline,12.263,True
vips,baseline,118.07,True
barnes,ibench-cpu,220.03300000000002,True
blackscholes,ibench-cpu,1.167,True
canneal,ibench-cpu,13.72,True
freqmine,ibench-cpu,13.181,True
radix,ibench-cpu,70.531,True
streamcluster,ibench-cpu,13.92,True
vips,ibench-cpu,189.718,True
barnes,ibench-l1d,253.567,True
blackscholes,ibench-l1d,1.187,True
canneal,ibench-l1d,16.048,True
freqmine,ibench-l1d,8.652,True
radix,ibench-l1d,81.911,True
streamcluster,ibench-l1d,15.658,True
vips,ibench-l1d,209.683,True
barnes,ibench-l1i,301.295,True
blackscholes,ibench-l1i,1.361,True
canneal,ibench-l1i,15.287,True
freqmine,ibench-l1i,13.294,True
radix,ibench-l1i,69.376,True
streamcluster,ibench-l1i,16.923,True
vips,ibench-l1i,209.499,True
barnes,ibench-l2,269.746,True
blackscholes,ibench-l2,1.338,True
canneal,ibench-l2,15.757,True
freqmine,ibench-l2,9.14,True
radix,ibench-l2,80.289,True
streamcluster,ibench-l2,15.694,True
vips,ibench-l2,217.937,True
barnes,ibench-llc,386.373,True
blackscholes,ibench-llc,1.246,True
canneal,ibench-llc,20.798,True
freqmine,ibench-llc,16.08,True
