Random waveform, supplied seed
Total number of intervals = 360 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330)
Average QPS expected = 57436
Timestamp start: 1778004356498
Timestamp end: 1778006156873

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      280.8   207.0   109.4   171.3   188.4   254.7   282.0   297.0   309.8   323.8   344.9   389.8  1162.5  2294.6  7845.5   6922.6     6927
read      347.9   221.6    80.4   134.9   151.9   304.1   390.0   440.9   479.0   520.7   574.7   660.7  1061.0  2516.5  4296.7  52941.4    52892
read      499.4   623.7    86.8   159.6   185.0   341.6   425.5   488.2   541.8   615.2   737.2  1532.6  3508.7  7157.8  8248.1  98970.4    98921
read      281.8   149.4    93.8   136.0   149.9   262.9   317.6   344.8   364.6   387.8   419.3   480.4   727.7  1634.3  4202.2  61188.4    61129
read      279.7   153.7    93.8   141.8   157.1   274.6   317.2   339.0   354.3   371.4   395.5   434.7   557.0  1168.6  4355.0  40520.4    40613
read      299.8   183.1    86.8   133.4   147.7   272.0   328.7   360.1   384.0   415.5   463.3   546.3   933.0  2087.1  4086.4  53366.2    53226
read      312.4   194.5    86.8   140.3   156.4   289.1   341.0   370.5   393.3   422.0   464.1   539.2   901.6  2278.8  7120.2  38433.2    38560
read      465.3   571.5    86.8   155.3   179.0   327.1   403.7   458.5   504.2   569.1   671.8  1410.1  3400.8  6593.3  8595.4 103372.6   103465
read      362.6   366.5    86.8   147.0   165.8   291.8   354.7   393.5   425.9   470.3   541.2   701.7  2073.5  4264.7  7944.9 104872.0   104758
read      324.9   291.2    86.8   141.3   157.4   271.3   329.0   362.0   387.4   420.8   473.8   604.3  1614.0  3370.8  7715.6  94690.2    94759
read      277.5   104.0    93.8   141.5   157.2   273.5   314.6   335.9   350.4   368.1   392.1   432.5   562.0   973.6  2108.0  37885.6    37799
read      258.8    90.2   101.3   170.6   188.9   251.0   273.9   288.3   297.8   311.5   328.1   357.3   453.0  1194.7  3212.8   8324.4     8296
read      353.5   329.5    80.4   134.3   149.5   281.0   350.8   398.8   442.8   503.3   588.6   765.5  1701.2  3873.4  7699.1  69254.4    69443
read      275.1   111.2    93.8   167.7   188.5   265.4   293.4   310.0   321.1   336.8   356.1   389.8   538.6  1388.3  3976.8  12514.8    12517
read      310.1   171.9    86.8   136.9   152.0   286.4   343.1   375.9   401.2   433.2   480.1   555.2   853.1  1826.5  3617.1  43474.4    43591
read      292.3   143.1    93.8   156.5   176.5   279.5   315.7   335.9   349.9   367.7   392.7   435.9   690.7  1878.5  3843.8  20531.8    20430
read      426.5   500.2    86.8   143.8   162.7   290.7   360.0   406.6   452.5   527.9   734.2  1401.5  2686.8  4806.6  8033.6  93747.0    93758
read      261.1    89.5    93.8   170.3   189.7   255.9   279.9   293.0   303.2   315.9   333.1   359.0   424.3   967.1  4133.7  10474.4    10485
read      278.1    95.7   101.3   163.8   185.1   272.0   301.7   318.1   330.9   344.8   365.1   398.0   506.2  1119.3  3215.9  16544.4    16518
read      370.9   374.5    86.8   141.4   158.1   282.1   346.5   386.9   421.6   476.0   593.3   920.5  2025.0  3646.3  7832.6  83284.2    83230
read      250.2    82.6   118.1   174.5   189.0   243.3   264.2   275.3   285.1   294.9   311.4   337.5   401.5  1242.9  3143.5   5482.2     5484
