Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1777996494522
Timestamp end: 1777998294839

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      421.1   625.4    86.8   136.8   152.0   277.1   340.1   378.0   408.9   456.1   552.2  1412.7  3456.3  7026.3  8115.1  79449.5    79473
read      289.0   173.9    86.8   133.4   146.8   262.0   318.5   348.3   371.3   399.7   440.2   529.5   830.4  2059.5  3747.6  61391.5    61431
read      303.1   263.3    80.4   134.2   148.1   251.3   309.6   341.8   366.7   397.6   446.1   596.2  1412.1  3112.4  7391.6  87202.9    87172
read      335.7   330.6    86.8   144.1   161.0   274.7   332.6   367.0   393.9   428.8   484.4   615.9  1844.0  3655.5  7916.7 108197.1   108181
read      278.1   162.5    86.8   133.6   147.1   249.4   307.0   336.9   358.9   385.3   421.1   496.2   798.9  1779.1  4200.8  80572.3    80515
read      292.8   134.8    86.8   143.8   159.4   283.5   327.1   350.7   368.7   391.0   420.6   471.6   653.8  1580.5  2553.6  37138.2    37149
read      324.7   195.5   101.3   171.6   196.0   298.1   337.5   360.7   377.7   399.4   430.8   509.3  1077.9  2011.5  7407.1  13442.5    13444
read      468.5   717.4    86.8   138.2   153.6   284.6   349.6   391.1   425.9   481.4   616.2  1810.7  3804.2  7540.6  8402.6  71938.7    72057
read      271.5   148.2    86.8   131.8   144.6   249.6   306.1   334.1   353.9   377.3   407.4   463.6   702.1  1638.1  3849.7  70022.8    70041
read      283.4   193.3    86.8   133.8   147.4   246.9   303.6   334.3   356.7   384.1   422.2   506.5  1026.4  2252.9  4199.2  90228.3    90162
read      290.5   154.1    80.4   135.9   149.6   271.8   324.4   352.9   373.7   400.2   437.0   513.2   757.6  1711.4  2790.0  52137.3    52082
read      325.9   184.1    93.8   159.4   180.5   303.6   351.1   379.1   399.7   425.5   461.1   531.5   892.6  2199.6  6189.5  24270.1    24258
read      413.6   614.8    86.8   137.3   152.2   276.3   336.9   372.3   400.8   442.0   529.5  1330.3  3454.1  6500.6  8120.5  72073.2    72013
read      293.6   175.7    86.8   134.2   147.8   267.1   323.1   354.2   377.8   407.6   452.7   539.4   845.2  2043.8  4172.6  57911.1    58012
read      306.5   174.3    86.8   139.2   153.6   283.4   338.9   371.8   396.8   427.2   467.9   543.7   809.5  1946.6  4031.7  45363.8    45398
read      311.8   194.3    86.8   137.3   151.4   282.0   340.7   376.4   403.7   436.8   485.0   571.8   940.2  2202.1  4069.1  50136.5    50177
read      328.7   185.4    86.8   145.3   163.1   301.9   360.7   395.4   421.4   453.8   500.1   578.1   957.8  1960.5  4483.1  34538.0    34504
read      392.8   498.0    86.8   136.3   150.8   281.7   353.4   403.5   446.6   505.0   591.6   877.8  2865.5  5452.3  8100.8  65971.8    66010
read      352.9   340.4    86.8   136.5   150.7   273.0   344.4   396.5   443.3   509.5   598.3   766.2  1781.8  3956.2  7814.6  73938.1    73937
read      317.4   212.1    86.8   136.2   150.4   280.2   342.5   382.1   412.6   451.5   505.9   601.2  1060.4  2296.6  5069.6  55002.7    55020
read      314.2   206.6    86.8   136.9   150.7   279.4   340.7   378.5   407.6   444.4   497.0   587.6  1021.9  2276.3  5894.2  53195.7    53235
read      324.0   325.8    86.8   139.0   153.7   261.4   318.6   351.6   376.9   409.7   462.6   621.4  1751.5  3682.2  7756.3  97719.5    97743
read      248.3   164.0   101.3   171.6   185.3   238.0   258.0   269.1   276.5   287.5   299.4   320.8   396.1  1905.9  7831.5   5374.4     5419
read      288.0   107.8    93.8   163.3   186.6   282.8   314.3   331.8   343.8   359.7   378.8   410.6   531.3  1224.4  3754.0  14704.8    14764
read      264.7   110.3    93.8   173.9   191.0   256.6   280.7   293.9   304.2   316.0   332.7   360.4   471.7  1244.5  4688.6   7448.1     7451
read      345.2   178.8    80.4   138.8   157.0   318.4   399.6   442.9   473.6   511.5   556.8   627.6   803.7  1639.5  3763.1  48131.3    48208
read      290.7   109.1    93.8   159.4   182.6   285.4   318.6   337.3   350.3   366.7   388.0   422.5   547.1  1273.1  3224.1  16156.6    16149
read      441.5   673.7    86.8   137.7   153.1   277.7   338.3   374.0   403.3   448.7   557.3  1616.0  3680.4  7276.9  8178.5  78992.4    78989
read      271.4    91.7    93.8   160.2   179.4   270.0   297.8   312.9   322.8   336.6   352.9   379.5   443.0  1006.1  3144.5  18929.4    18886
read      303.7   203.4    80.4   131.5   144.8   259.3   324.2   364.9   398.4   443.3   508.0   615.9  1000.3  2158.8  4429.5  75935.9    75954
read      302.7   140.4    86.8   136.2   151.5   288.4   345.5   378.8   402.0   430.7   468.2   531.9   662.2  1135.6  2794.8  44404.3    44409
read      313.7   411.1    93.8   163.3   186.5   296.4   335.2   357.3   373.1   393.2   419.7   468.0   835.5  1769.6  7208.7  16419.3    16431
read      447.3   655.5    86.8   139.9   156.5   285.2   351.1   393.5   429.5   486.7   612.2  1601.6  3562.1  7392.9  9758.3  85672.0    85707
read      287.9   165.2    86.8   134.0   147.7   266.1   320.1   348.2   370.0   396.8   433.8   511.5   784.4  1925.0  3914.6  58328.3    58253
read      358.3   415.0    86.8   142.4   159.3   276.7   336.9   373.2   402.5   443.8   513.9   702.4  2432.0  4700.6  8031.5 103921.7   103867
read      281.4   115.0    86.8   157.4   176.2   276.8   307.7   323.8   336.8   351.5   371.9   405.1   522.9  1451.7  3173.2  21632.8    21604
