Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1778400867171
Timestamp end: 1778402667478

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      281.8   122.9    74.4   128.5   143.7   267.6   329.7   361.1   383.3   409.2   441.3   489.6   585.0   742.3  2410.9  61483.9    61431
read      298.8   139.2    74.4   132.8   150.7   279.6   340.4   374.9   401.0   432.2   471.0   533.4   668.1   975.1  3381.7  87062.7    87172
read      553.8   267.4    74.4   210.8   269.6   509.3   583.9   638.5   707.2   834.9   944.5  1056.6  1235.8  1492.3  7240.1 108106.1   108181
read      311.7   165.2    74.4   132.6   150.5   284.7   350.1   388.5   417.2   451.8   497.5   577.9   852.2  1185.3  3213.5  80547.3    80515
read      283.7   108.5    74.4   137.5   153.2   282.8   330.2   353.6   369.9   389.8   414.2   451.3   526.4   650.2  2573.3  37163.5    37149
read      255.7   102.8    86.8   157.0   175.8   250.3   276.8   292.7   304.1   316.8   334.6   362.0   428.5  1038.0  3763.2  13398.7    13444
read      284.6   127.7    74.4   128.3   144.0   267.5   329.6   362.9   387.0   415.4   451.2   503.3   610.3   792.1  2052.4  72091.3    72057
read      283.5   126.9    74.4   128.3   143.8   266.8   328.7   361.4   384.9   412.5   447.5   499.9   605.3   801.1  2710.0  69982.9    70041
read      323.1   185.8    74.4   136.4   155.2   291.7   357.8   397.8   428.9   465.8   516.3   604.5   926.9  1454.6  4576.3  90154.4    90162
read      282.7   122.0    74.4   130.0   145.1   273.9   331.4   360.2   380.1   403.0   433.1   476.7   571.5   779.6  3241.5  52063.4    52082
read      273.6   100.1    80.4   143.8   162.0   272.3   308.4   326.5   339.7   355.5   374.7   407.3   484.1   664.0  3117.4  24305.7    24258
read      278.9   126.9    74.4   125.8   141.2   261.9   324.4   357.4   380.6   407.4   441.7   492.3   591.0   758.6  2518.4  71996.2    72013
read      281.5   123.8    74.4   128.0   143.0   268.4   331.4   362.5   384.2   408.6   439.5   484.6   575.4   737.5  2565.7  58007.1    58012
read      283.8   123.2    74.4   131.6   147.0   278.7   333.8   360.6   378.8   399.9   427.6   466.3   548.2   725.8  3454.4  45394.9    45398
read      283.1   125.6    74.4   130.1   145.4   274.8   333.5   362.0   381.7   403.8   433.0   472.8   561.3   724.8  2955.7  50112.3    50177
read      285.8   121.8    80.4   138.8   154.8   284.3   330.6   353.2   369.2   388.7   412.8   451.4   532.3   779.7  3373.0  34433.4    34504
read      283.7   125.6    74.4   128.2   143.7   267.9   330.7   363.2   386.4   413.5   448.1   498.5   594.5   772.8  2005.9  66063.3    66010
read      287.5   132.9    74.4   129.0   144.8   269.6   332.0   365.7   390.3   419.7   456.7   509.6   622.2   821.0  2860.4  73831.3    73937
read      287.2   131.9    74.4   130.3   145.8   274.9   336.5   367.4   389.2   414.4   446.7   493.8   588.2   745.5  3392.7  54892.5    55020
read      287.2   123.7    74.4   131.2   146.8   276.1   337.5   367.6   389.0   413.6   444.6   490.3   582.7   737.1  2217.4  53265.2    53235
read      476.3   279.5    74.4   157.7   189.1   441.9   539.1   588.7   629.6   691.3   854.1  1032.2  1244.4  1499.6  7282.1  97638.4    97743
read      237.1   123.7    93.8   163.2   176.9   226.7   247.3   259.6   268.7   279.9   296.2   322.9   396.6  1176.6  6432.7   5412.5     5419
read      263.3    83.8    86.8   156.3   176.3   259.0   288.4   305.3   316.8   331.3   348.1   376.9   446.7   693.6  2263.6  14730.7    14764
read      241.4    90.6    93.8   162.0   178.2   233.5   255.6   268.6   277.6   291.1   308.6   336.3   401.0  1077.1  3336.9   7459.9     7451
read      287.0   118.0    74.4   132.2   147.9   279.7   337.8   366.4   386.4   409.0   438.1   481.8   568.1   692.8  2017.7  48112.3    48208
read      268.9    91.2    86.8   155.7   176.2   265.4   296.1   313.2   324.9   339.5   358.4   388.1   455.7   689.0  3123.8  16175.2    16149
read      300.8   137.6    74.4   132.7   150.2   283.2   345.4   380.1   404.9   436.3   475.1   535.9   664.0   925.9  2657.5  79079.2    78989
read      265.6    93.7    86.8   147.4   166.3   262.5   294.2   312.0   324.3   339.6   359.6   391.6   465.3   682.4  3060.4  18870.1    18886
read      286.2   128.3    74.4   128.7   144.5   269.1   330.4   363.8   387.9   416.6   453.9   507.7   620.6   800.3  2628.4  75967.1    75954
read      285.6   122.6    80.4   133.3   148.8   281.4   334.8   360.9   379.0   400.1   428.5   469.4   556.0   720.2  2528.6  44350.1    44409
read      264.9    92.0    86.8   152.4   172.7   261.2   291.0   308.1   319.8   335.0   353.2   383.4   456.1   692.7  3097.1  16426.8    16431
read      305.8   149.4    74.4   133.7   151.6   285.5   348.5   384.7   411.4   444.2   486.1   549.1   692.4   992.2  3169.3  85674.3    85707
read      287.0   124.2    74.4   129.4   144.7   273.6   336.9   368.7   391.2   417.5   450.8   499.1   592.6   754.7  2494.6  58329.6    58253
read      546.5   305.7    74.4   174.8   219.0   516.9   612.1   665.6   709.0   778.3   945.6  1136.0  1367.1  1664.0  7391.7 103827.1   103867
read      279.2   108.2    80.4   145.2   163.5   274.5   311.9   332.0   345.6   363.6   386.2   424.4   545.2   941.9  3342.2  21657.7    21604
