benchmark,interference,execution_time_s,success
barnes,baseline,157.516,True
blackscholes,baseline,0.873,True
canneal,baseline,11.713,True
freqmine,baseline,6.734,True
radix,baseline,63.387,True
streamcluster,baseline,11.555,True
vips,baseline,115.34100000000001,True
barnes,ibench-cpu,223.525,True
blackscholes,ibench-cpu,1.099,True
canneal,ibench-cpu,12.798,True
freqmine,ibench-cpu,13.281,True
radix,ibench-cpu,75.203,True
streamcluster,ibench-cpu,14.839,True
vips,ibench-cpu,195.582,True
barnes,ibench-l1d,271.259,True
blackscholes,ibench-l1d,1.222,True
canneal,ibench-l1d,16.475,True
freqmine,ibench-l1d,17.06,True
radix,ibench-l1d,89.553,True
streamcluster,ibench-l1d,15.779,True
vips,ibench-l1d,233.719,True
barnes,ibench-l1i,313.927,True
blackscholes,ibench-l1i,1.585,True
canneal,ibench-l1i,15.581,True
freqmine,ibench-l1i,14.338,True
radix,ibench-l1i,75.722,True
streamcluster,ibench-l1i,17.248,True
vips,ibench-l1i,212.784,True
barnes,ibench-l2,268.639,True
blackscholes,ibench-l2,1.238,True
canneal,ibench-l2,17.282,True
freqmine,ibench-l2,8.765,True
radix,ibench-l2,79.94800000000001,True
streamcluster,ibench-l2,20.013,True
vips,ibench-l2,236.962,True
barnes,ibench-llc,371.953,True
blackscholes,ibench-llc,1.231,True
canneal,ibench-llc,21.53,True
freqmine,ibench-llc,11.888,True
radix,ibench-llc,100.211,True
streamcluster,ibench-llc,19.776,True
vips,ibench-llc,219.311,True
barnes,ibench-membw,255.782,True
blackscholes,ibench-membw,1.142,True
canneal,ibench-membw,15.711,True
freqmine,ibench-membw,10.417,True
radix,ibench-membw,91.22800000000001,True
streamcluster,ibench-membw,14.682,True
vips,ibench-membw,192.997,True
