Random waveform, supplied seed
Total number of intervals = 225 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412)
Average QPS expected = 58238
Timestamp start: 1778414676370
Timestamp end: 1778416476702

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      286.6   131.8    74.4   129.7   145.7   268.1   329.0   363.5   388.3   418.2   456.3   509.2   628.0   804.2  2433.4  78862.5    78747
read      283.8   113.1    74.4   134.8   150.5   279.4   331.0   357.4   375.0   396.2   423.6   464.3   549.3   719.7  2049.1  42217.8    42212
read      280.4   112.3    74.4   130.5   145.8   272.0   329.8   358.7   377.9   400.0   430.2   471.0   551.7   690.4  1668.2  52299.2    52488
read      280.6   115.3    80.4   137.3   153.0   280.7   325.4   348.3   364.1   381.8   403.2   439.3   507.7   631.9  3817.9  36962.5    36950
read      259.9    87.8    80.4   153.8   173.6   256.8   284.1   297.9   310.8   324.7   342.5   369.8   431.0   629.4  3342.2  16809.1    16762
read      280.1   136.5    74.4   128.6   144.0   261.6   321.1   355.3   379.2   407.3   444.7   496.1   594.1   778.1  3694.6  79525.2    79473
read      278.8   117.5    74.4   128.7   143.6   265.9   326.6   357.8   379.0   402.8   434.6   480.2   572.5   735.6  1662.5  61473.8    61431
read      281.6   125.1    74.4   129.6   145.8   263.9   321.6   355.0   378.9   407.1   445.0   498.1   606.0   797.6  2383.0  87262.5    87172
read      365.7   172.9    74.4   157.3   184.1   337.8   410.2   452.6   482.7   519.7   572.5   669.1   894.4  1120.1  3323.2 108041.4   108181
read      279.0   123.7    74.4   127.8   143.2   261.0   320.3   354.6   378.6   406.8   444.2   496.1   596.4   748.7  1880.9  80315.6    80515
read      282.4   111.0    80.4   137.6   153.1   281.0   327.2   350.5   366.7   385.5   408.2   447.6   524.1   698.6  2890.2  37124.4    37149
read      253.2    85.7    86.8   157.3   176.4   248.6   273.3   287.7   297.1   312.0   330.3   358.8   422.6   648.5  3788.9  13437.4    13444
read      279.9   131.6    68.9   127.9   142.9   262.2   322.5   356.3   379.7   406.7   443.2   494.4   594.7   874.5  2627.1  72011.5    72057
read      279.0   124.8    74.4   127.9   142.9   262.5   323.0   356.1   379.0   405.3   441.6   491.2   589.0   766.5  2631.8  70043.9    70041
read      288.3   130.7    74.4   131.9   149.2   270.5   327.6   360.8   385.6   416.0   455.2   509.6   625.0   814.2  2567.1  89895.8    90162
read      276.1   111.4    74.4   129.5   144.2   269.8   324.4   351.0   369.6   391.5   419.9   462.4   544.2   681.8  1609.8  51918.2    52082
read      266.5   108.8    80.4   143.3   160.8   266.3   296.5   314.5   327.3   341.7   360.9   389.8   457.1   644.7  4972.4  24265.4    24258
read      286.7   289.2    74.4   129.5   144.7   259.4   318.2   349.7   372.1   398.8   434.7   488.8   617.9  3986.4 11644.9  72013.6    72013
read      286.4   239.7    80.4   131.4   147.0   268.5   326.9   356.6   377.0   401.0   433.4   480.7   583.5  2904.5 10076.8  57990.4    58012
read      279.4   110.4    74.4   132.1   147.3   276.1   328.0   353.3   370.5   391.3   417.9   458.4   538.6   677.9  1928.4  45424.5    45398
read      281.2   129.2    74.4   131.0   146.5   274.1   330.5   358.3   376.7   398.3   426.9   466.9   547.3   689.1  3160.3  50250.2    50177
read      279.3   102.7    80.4   137.9   154.0   279.9   323.4   345.1   360.8   377.7   399.7   433.7   502.4   622.9  2404.8  34426.1    34504
read      277.5   127.9    74.4   127.9   142.7   262.5   323.4   356.0   378.0   402.9   435.9   483.0   574.7   725.4  1752.2  65984.6    66010
read      277.7   125.5    74.4   127.1   141.9   259.6   320.7   354.5   378.2   405.6   442.4   493.1   590.5   754.8  2470.0  73915.0    73937
read      283.1   160.4    74.4   129.1   144.0   269.5   328.6   358.7   379.0   402.2   434.1   481.4   590.9  1274.3  7839.6  54953.9    55020
read      284.4   120.1    80.4   131.4   146.8   274.8   333.4   363.0   383.4   406.4   437.5   483.5   574.5   735.2  2281.3  53236.2    53235
read      331.8   170.1    74.4   141.1   161.5   300.3   368.5   410.1   442.2   479.5   530.2   618.4   941.2  1263.2  3036.5  97715.9    97743
read      230.9    99.5    86.8   162.1   174.7   223.1   242.1   253.1   262.1   271.8   286.3   311.1   373.9  1164.1  4503.2   5497.8     5419
read      262.6   113.4    86.8   158.5   178.5   257.5   284.1   297.9   311.2   325.7   344.4   372.6   436.3  1098.8  6648.3  14784.0    14764
read      236.2    96.8    86.8   161.9   175.2   228.5   249.0   261.1   269.8   280.7   295.0   321.5   391.6  1155.2  3774.9   7459.6     7451
read      282.6   111.4    80.4   133.3   148.9   277.3   331.6   358.6   376.4   398.1   426.7   467.6   549.7   706.1  1589.6  48070.1    48208
read      258.7    97.4    86.8   154.3   173.8   255.3   281.8   296.0   308.3   321.4   340.1   367.5   428.7   760.7  3943.1  16228.0    16149
read      283.1   124.6    74.4   129.9   145.6   265.1   324.9   358.7   383.0   412.2   450.2   502.4   611.3   781.2  1950.3  78991.0    78989
read      268.3    82.3    86.8   153.5   173.5   266.0   295.2   312.9   325.4   340.2   359.2   388.0   452.2   601.4  2275.0  18940.1    18886
read      284.5   124.7    74.4   130.1   145.9   267.0   327.2   361.3   385.6   414.5   452.2   504.0   610.9   768.8  1965.4  75983.5    75954
read      283.4   116.8    80.4   135.0   150.3   279.7   331.8   357.6   374.5   395.3   422.2   462.0   541.5   682.4  2639.2  44279.9    44409
read      258.5    88.7    86.8   154.9   174.5   255.5   282.1   295.8   308.1   321.2   339.9   366.8   426.6   585.0  3834.8  16425.1    16431
read      290.0   130.2    74.4   131.7   148.6   271.5   330.7   364.9   390.3   421.4   460.3   516.2   632.0   847.0  2519.8  85482.2    85707
read      281.6   121.5    80.4   129.9   145.1   269.3   330.0   360.6   381.6   405.0   437.0   483.3   575.1   720.8  2467.0  58199.1    58253
read      403.4   215.4    74.4   157.0   185.3   364.6   452.2   498.4   533.1   578.2   651.6   831.3  1071.8  1288.9  4895.9 103775.6   103867
read      269.0    95.3    80.4   149.1   167.7   267.6   297.8   315.9   329.1   343.8   363.8   393.1   458.7   622.1  2986.9  21580.1    21604
read      298.3   129.6    74.4   136.3   154.0   280.1   339.4   373.6   399.5   431.0   469.6   528.4   641.3   826.0  2012.8  90279.9    90401
