Random waveform, supplied seed
Total number of intervals = 360 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330)
Average QPS expected = 57436
Timestamp start: 1778402844142
Timestamp end: 1778404644529

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      249.7   118.4    93.8   157.4   171.9   240.9   267.5   282.2   292.9   307.3   326.1   356.9   429.2  1085.9  6745.2   6900.8     6927
read      309.0   157.9    80.4   130.7   146.0   282.6   352.1   390.4   419.4   456.9   509.3   597.3   774.3  1140.3  2679.7  52685.2    52892
read      282.1   128.4    74.4   131.2   147.5   261.0   319.1   353.5   378.4   408.4   448.0   505.8   624.5   805.2  2588.7  98882.8    98921
read      273.8   117.9    74.4   126.6   140.8   259.1   321.3   353.5   374.8   399.0   429.5   474.4   563.2   690.6  2073.2  61106.8    61129
read      280.4   118.4    80.4   134.6   150.1   277.6   327.9   353.0   370.0   389.7   413.7   451.6   524.4   649.7  3806.8  40536.0    40613
read      278.8   118.8    80.4   129.6   143.9   268.4   327.6   357.3   376.9   399.5   428.7   471.9   561.3   778.6  2430.6  53067.2    53226
read      276.0   102.1    80.4   134.6   149.6   274.9   321.7   345.7   362.3   380.5   402.4   437.0   510.7   628.5  1871.0  38427.4    38560
read      313.6   146.1    74.4   140.5   159.6   288.6   352.5   390.8   419.6   454.5   499.4   572.1   746.7   995.0  2660.2 103399.0   103465
read      314.9   155.6    80.4   140.1   159.3   289.2   353.6   391.7   421.1   457.1   503.0   575.7   742.4  1039.8  4887.9 104884.6   104758
read      283.0   123.5    74.4   131.2   147.4   261.9   321.2   355.9   380.8   410.8   451.1   508.2   624.2   793.8  1658.7  94707.8    94759
read      279.3   137.0    80.4   135.7   151.0   277.1   324.9   348.7   365.4   384.3   406.7   442.9   519.4   647.2  5338.6  37957.0    37799
read      246.7   144.3    86.8   157.9   173.8   238.6   261.9   273.8   283.9   294.7   312.2   341.4   415.3  1208.2  7822.1   8309.8     8296
read      274.5   118.7    74.4   126.6   140.9   256.0   318.9   353.1   376.3   402.7   436.4   487.1   584.1   739.1  1703.4  69289.6    69443
read      257.9   101.6    80.4   156.7   175.0   254.2   279.4   293.0   303.8   317.2   336.7   366.7   436.0   989.9  3417.1  12569.4    12517
read      278.1   110.1    74.4   133.4   148.6   274.3   325.5   351.8   369.4   389.8   414.9   453.9   529.2   640.8  1625.3  43478.4    43591
read      270.7    99.1    86.8   148.6   166.7   269.3   300.3   318.3   332.0   346.6   366.7   396.1   462.5   872.4  3657.4  20418.4    20430
read      278.2   126.5    74.4   129.4   144.9   256.8   315.7   350.0   374.7   404.1   442.7   500.6   615.5   804.4  2010.4  93499.2    93758
read      253.0    91.6    86.8   158.3   175.5   248.9   273.0   286.9   296.0   309.9   327.1   357.4   424.0  1012.3  2021.5  10610.4    10485
read      262.4    82.2    93.8   151.3   169.6   261.0   288.8   304.1   316.0   330.6   348.0   375.8   442.7   645.6  2431.5  16478.6    16518
read      281.6   141.7    74.4   129.7   145.1   259.4   320.7   355.8   381.1   410.9   449.7   506.2   619.2   813.9  4221.5  83118.2    83230
read      235.5    92.0    86.8   161.6   173.8   228.8   248.1   259.4   268.3   278.2   292.3   317.0   386.5  1096.7  3189.3   5432.0     5484
