config,target,runs,mean_qps,std_qps,min_qps,max_qps,mean_p95_ms,std_p95_ms,min_p95_ms,max_p95_ms,mean_avg_ms,mean_p99_ms,cpu_avg_percent,cpu_max_percent,any_cpu_warning
ibench-cpu,5000.0,3,4986.599999999999,5.7166423711826395,4980.0,4990.0,1.3245333333333333,0.3106180505594184,1.0812,1.6744,0.3993,2.234766666666667,66.74333333333333,100.0,True
ibench-cpu,10000.0,3,9974.199999999999,24.65197760829749,9955.0,10002.0,1.5840666666666667,0.3094192355580586,1.2512999999999999,1.8631,0.49016666666666664,2.4478666666666666,66.74333333333333,100.0,True
ibench-cpu,15000.0,3,14834.666666666666,216.61923583406272,14587.6,14992.0,3.7719,3.7349020924249143,1.4437,8.0799,1.412466666666667,5.5208,66.74333333333333,100.0,True
ibench-cpu,20000.0,3,18589.766666666666,2459.4532813886367,15750.2,20049.0,4.1209,4.0165485220522354,1.7186,8.7578,1.9752333333333334,6.4389666666666665,66.74333333333333,100.0,True
ibench-cpu,25000.0,3,20939.433333333334,3801.0436255498744,17100.2,24701.1,6.895433333333333,1.3301069368037042,5.4405,8.049,3.462566666666667,9.026066666666667,66.74333333333333,100.0,True
ibench-cpu,30000.0,3,21606.466666666667,3572.0743124035557,17534.4,24211.2,6.7425,1.122354975041319,5.7808,7.9757,3.370033333333333,8.858966666666666,66.74333333333333,100.0,True
ibench-cpu,35000.0,3,22889.266666666666,2421.116736824834,20329.4,25142.4,6.427466666666667,0.9985929567813572,5.5004,7.4848,3.1464,8.194666666666668,66.74333333333333,100.0,True
ibench-cpu,40000.0,3,23003.2,1668.304876214176,21272.2,24600.8,6.2687333333333335,0.7547454692367039,5.524100000000001,7.0332,3.115166666666667,8.055866666666667,66.74333333333333,100.0,True
ibench-cpu,45000.0,3,23049.600000000002,1812.8116063176567,21078.0,24644.4,6.3791,0.7383993025457161,5.6838999999999995,7.1541999999999994,3.1142,8.0415,66.74333333333333,100.0,True
ibench-cpu,50000.0,3,23808.533333333336,1149.4479080555739,22561.8,24826.2,5.970366666666666,0.5588763936089383,5.5569,6.606199999999999,3.0005666666666664,8.028433333333334,66.74333333333333,100.0,True
ibench-cpu,55000.0,3,23405.066666666666,1626.5998442559046,21538.2,24517.2,6.156466666666667,0.7413138156903142,5.652,7.0076,3.066133333333333,8.030833333333334,66.74333333333333,100.0,True
ibench-cpu,60000.0,3,23618.666666666668,1444.2241423454104,22046.8,24887.0,6.028366666666667,0.7089014694111824,5.5207,6.8383,3.028166666666667,8.022333333333334,66.74333333333333,100.0,True
ibench-cpu,65000.0,3,23418.666666666668,1324.9731972131856,22037.2,24678.8,6.1607666666666665,0.6249571691990847,5.6632,6.8622,3.0541666666666667,8.0328,66.74333333333333,100.0,True
ibench-cpu,70000.0,3,18382.666666666668,8673.826305231927,8555.2,24970.0,10.569166666666668,7.042961973724785,5.6196,18.6323,5.1188666666666665,14.061599999999999,66.74333333333333,100.0,True
ibench-cpu,75000.0,3,23203.5,1615.6168140991851,22009.2,25041.8,6.3028,0.6718770423224774,5.535399999999999,6.7852,3.089566666666667,8.045499999999999,66.74333333333333,100.0,True
