benchmark,threads,execution_time_s,success
barnes,1,119.273,True
barnes,2,58.176,True
barnes,4,30.632,True
barnes,8,23.518,True
blackscholes,1,65.88,True
blackscholes,2,39.219,True
blackscholes,4,25.057,True
blackscholes,8,21.369,True
canneal,1,272.58299999999997,True
canneal,2,178.68,True
canneal,4,128.163,True
canneal,8,100.15100000000001,True
freqmine,1,337.31,True
freqmine,2,177.451,True
freqmine,4,87.224,True
freqmine,8,68.222,True
radix,1,36.442,True
radix,2,17.812,True
radix,4,9.345,True
radix,8,5.76,True
streamcluster,1,538.664,True
streamcluster,2,269.066,True
streamcluster,4,176.20499999999998,True
streamcluster,8,120.154,True
vips,1,60.292,True
vips,2,42.49,True
vips,4,16.888,True
vips,8,14.176,True
