benchmark,threads,execution_time_s,success
barnes,1,109.92,True
barnes,2,55.958,True
barnes,4,29.333,True
barnes,8,22.744,True
blackscholes,1,65.31700000000001,True
blackscholes,2,38.197,True
blackscholes,4,25.036,True
blackscholes,8,21.335,True
canneal,1,235.636,True
canneal,2,147.13400000000001,True
canneal,4,99.37700000000001,True
canneal,8,74.391,True
freqmine,1,339.459,True
freqmine,2,171.969,True
freqmine,4,90.618,True
freqmine,8,70.714,True
radix,1,33.995,True
radix,2,17.242,True
radix,4,8.967,True
radix,8,5.397,True
streamcluster,1,443.345,True
streamcluster,2,243.035,True
streamcluster,4,147.265,True
streamcluster,8,109.61500000000001,True
vips,1,62.121,True
vips,2,32.872,True
vips,4,16.847,True
vips,8,14.439,True
