#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      247.7   105.0    93.8   157.4   169.8   234.0   265.6   283.4   296.3   313.0   334.2   370.0   478.2  1002.9  3852.0  29824.1    30000  1778340375659  1778340385805
read      246.9    97.0    93.8   158.0   169.9   233.3   265.4   283.6   296.6   313.2   334.4   370.0   470.7   801.7  3597.4  30033.2    30005  1778340387317  1778340397451
read      259.6   103.1   101.3   160.8   174.5   247.4   280.9   299.6   313.5   329.9   351.1   392.9   498.2   836.8  3915.1  30076.1    30010  1778340398961  1778340409074
read      257.5    95.3   101.3   161.5   175.2   246.2   278.7   297.1   310.7   325.7   345.3   383.8   477.5   826.7  3230.8  30094.2    30015  1778340410584  1778340420695
read      258.9    94.6   101.3   161.0   174.7   246.9   279.9   298.5   312.6   328.7   349.3   392.1   503.9   787.9  3168.8  29970.9    30020  1778340422206  1778340432318
read      243.9    98.7   101.3   160.0   171.2   230.2   260.1   277.2   290.5   305.9   325.3   360.5   467.4   962.6  3914.0  30090.1    30025  1778340433829  1778340443938
read      240.9    96.0   101.3   157.5   168.9   227.8   257.2   274.0   287.4   302.8   322.2   357.8   463.1   693.4  3630.0  30006.0    30030  1778340445449  1778340455563
read      239.0   129.6    93.8   156.9   168.1   225.6   254.0   271.0   283.9   298.4   318.3   352.0   459.0   727.0  3575.8  30042.5    30035  1778340457074  1778340467190
read      244.2   100.5   101.3   158.4   169.8   230.1   260.7   277.9   291.6   307.8   328.5   364.4   471.4  1028.4  3879.0  30107.9    30040  1778340468700  1778340478811
read      241.2    89.8   101.3   156.9   168.3   227.9   258.4   275.3   289.1   304.7   324.3   359.7   464.3   724.6  3311.3  30164.9    30045  1778340480322  1778340490436
read      240.7   107.6   101.3   156.8   168.4   226.7   256.1   273.1   286.4   301.6   320.8   356.5   462.1   937.3  3994.3  30075.5    30050  1778340491947  1778340502057
read      239.5    97.1    93.8   156.9   168.0   225.8   254.8   271.8   284.9   299.8   319.5   354.4   465.0   950.2  3645.0  30028.6    30055  1778340503568  1778340513679
read      243.3    93.4   101.3   158.9   170.2   230.0   260.1   277.1   290.6   306.5   326.6   362.4   466.6   740.1  3196.6  30077.3    30060  1778340515190  1778340525301
read      239.3    98.3   101.3   158.4   169.3   226.5   254.9   271.5   284.2   298.7   318.1   350.9   455.2   697.9  3292.1  29985.6    30065  1778340526812  1778340536928
read      239.7    87.8    93.8   156.3   167.9   227.0   256.9   273.8   287.0   302.1   321.2   355.8   453.6   674.5  3071.2  30067.8    30070  1778340538439  1778340548551
read      240.9   101.2   101.3   158.3   169.4   226.8   255.7   272.9   286.2   301.2   320.3   355.3   462.2  1167.9  3795.6  30150.4    30075  1778340550062  1778340560173
read      237.8    93.2   101.3   156.3   167.7   224.9   253.6   270.8   283.6   298.0   317.8   349.4   448.4   734.0  3155.8  30061.4    30080  1778340561685  1778340571794
read      240.0    94.1    93.8   155.8   167.6   226.7   256.3   273.3   286.6   301.9   321.4   357.0   461.9   746.8  3649.9  30028.5    30085  1778340573305  1778340583418
read      241.5   100.6    93.8   157.4   169.0   228.1   257.9   274.7   288.1   303.4   322.6   358.2   459.7   818.4  3763.6  30091.6    30090  1778340584929  1778340595040
read      241.6    92.4    93.8   156.0   167.8   227.8   258.1   275.1   288.9   304.7   325.4   363.7   469.6   903.0  3758.4  30124.8    30095  1778340596550  1778340606664
read      242.7    99.1    93.8   157.1   168.5   228.3   258.6   275.6   289.4   305.3   326.2   364.1   476.3  1008.2  3718.9  30098.5    30100  1778340608176  1778340618292
read      239.3   101.0    93.8   156.3   167.5   225.7   254.8   272.0   285.1   299.9   319.6   356.1   462.5   770.4  4148.0  30124.0    30105  1778340619804  1778340629919
read      254.6   106.7    93.8   157.6   171.5   242.2   274.7   293.8   307.7   323.1   344.1   383.3   476.9  1037.0  4175.3  30133.5    30110  1778340631430  1778340641545
