Random waveform, supplied seed
Total number of intervals = 450 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330, 64301, 11203, 7291, 87477, 77485, 42055, 26865, 94592, 66869, 17835, 55977, 82437, 15775, 87559, 105401, 88752, 94531, 101303, 86640, 84818, 20221, 43599, 52779, 89855, 48532, 107423, 46535, 47535, 49633, 30334, 17207, 106074, 48912, 96483, 39228, 92350, 85084, 81993, 101617, 16730, 71079, 108942, 55406, 42279, 21876, 34140, 42897, 18462, 100375, 41347, 101594, 47486, 73393, 51134, 58201, 71020, 72071, 93446, 28724, 59269, 74624, 52368, 9687, 44165, 6895, 55457, 61164, 108384, 33319, 97895, 39720, 68554, 86849, 30264, 100754, 98098, 86028, 93054, 42348, 29490, 18187, 95113, 8570, 62285, 52582, 34260, 59493, 58208, 93458, 18056)
Average QPS expected = 58024
Timestamp start: 1778013501860
Timestamp end: 1778015302264

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      263.1   127.8    86.8   131.6   144.3   241.4   299.0   327.6   346.5   369.1   397.8   449.7   629.6  1195.5  3475.4  73838.0    74055
read      263.8    96.8    86.8   135.7   149.0   258.7   307.5   330.0   344.6   362.4   383.9   418.7   507.7   670.2  1933.6  51319.2    51197
read      264.7   135.8    86.8   133.9   147.1   252.7   304.8   329.3   345.3   364.9   389.6   430.7   554.3  1048.9  3674.4  59280.0    59442
read      288.0   138.2    86.8   141.7   156.8   276.5   320.0   343.4   361.2   382.2   411.2   466.6   681.8  1547.4  2529.3  35760.2    35654
read      337.8   297.7    86.8   135.6   150.0   268.7   336.8   384.1   427.6   485.0   563.8   714.8  1591.2  3304.6  7449.1  78583.5    78747
read      296.8   170.4    86.8   139.9   154.4   279.1   330.3   358.2   378.4   403.1   438.2   501.6   731.9  1984.0  4643.0  42262.2    42212
read      299.1   155.0    86.8   135.9   150.0   276.0   333.4   365.7   390.7   423.1   466.7   541.5   805.1  1637.0  2508.7  52515.2    52488
read      291.7   138.7    86.8   141.6   157.0   279.8   326.1   350.7   369.6   392.7   425.5   483.1   655.4  1433.3  3890.5  37004.0    36950
read      275.0    94.6   101.3   161.7   181.3   268.9   298.8   315.3   327.3   341.5   361.7   394.7   503.0  1167.1  2010.3  16760.8    16762
read      700.8  1019.1    93.8   160.8   187.4   329.1   426.0   506.8   618.4  1289.8  1873.5  2930.9  4830.9  8120.4 10173.8  79334.8    79473
read      266.2   129.0    86.8   133.1   145.8   251.3   304.9   330.3   346.8   367.1   393.0   436.2   606.2  1448.9  3561.0  61199.5    61431
read      268.1   164.9    86.8   132.2   145.0   237.6   294.4   324.9   345.9   370.8   403.3   469.1   773.4  1686.4  4398.7  87395.2    87172
read      328.5   300.4    86.8   144.0   160.7   272.4   330.1   364.1   390.6   425.9   480.6   611.3  1661.8  3585.3  7697.5 108221.8   108181
read      269.5   163.8    86.8   133.0   146.0   242.7   299.5   329.2   349.4   373.3   404.8   467.7   687.7  1795.0  6144.4  80407.8    80515
read      270.3    95.3    93.8   148.2   163.3   270.3   308.3   326.5   339.1   353.6   371.3   399.9   470.1   633.9  2598.5  37101.5    37149
read      253.5    64.1    93.8   169.0   187.9   251.0   272.1   284.2   292.4   302.8   316.4   338.4   392.8   791.8  2018.2  13425.5    13444
read      322.1   233.6    86.8   134.4   148.5   267.1   335.6   379.3   418.1   468.3   539.0   669.3  1280.3  2419.9  3790.6  72157.8    72057
read      314.4   213.7    86.8   133.5   146.9   266.0   333.9   375.6   411.3   458.4   522.5   640.5  1156.9  2145.2  3480.3  70113.0    70041
read      341.5   336.9    86.8   138.1   152.5   262.0   325.1   364.7   398.5   454.8   563.0   790.2  1735.9  3883.5  7755.1  90093.5    90162
read      262.8   100.6    86.8   134.8   148.2   256.3   305.8   328.5   343.3   361.2   383.0   418.7   515.7   792.3  1894.8  52058.5    52082
read      265.4    85.3    93.8   153.5   170.5   265.4   294.8   310.8   321.1   334.7   349.4   373.5   436.7   817.2  2494.0  24108.2    24258
read      317.4   249.3    86.8   132.7   146.1   264.2   331.0   372.1   405.7   454.0   519.0   640.5  1289.4  2845.4  7156.0  72029.2    72013
read      301.1   168.4    86.8   134.8   148.7   272.9   332.4   367.3   394.9   431.3   481.6   568.7   825.9  1721.7  3527.8  58008.8    58012
read      291.6   134.5    86.8   137.4   151.4   276.0   328.7   357.4   378.4   403.6   442.7   504.8   691.2  1368.1  2011.2  45517.0    45398
read      294.9   167.3    86.8   134.7   148.7   273.9   329.7   361.3   385.1   414.3   455.4   523.1   723.1  2029.2  4263.7  50128.2    50177
read      292.1   128.2    93.8   143.2   158.7   280.2   327.2   352.0   370.7   394.1   426.7   482.9   636.6  1401.8  3199.8  34530.8    34504
